Genus1974,Family1974
Tachyphonus,Thraupidae
Taeniotriccus,Tyrannidae
Talegalla,Megapodiidae
Tangara,Thraupidae
Tangavius,Icteridae
Tanygnathus,Psittacidae
Tanysiptera,Alcedinidae
Taoniscus,Tinamidae
Tapera,Cuculidae
Taphrolesbia,Trochilidae
Taphrospilus,Trochilidae
Taraba,Formicariidae
Tarsiger,Turdidae
Tauraco,Musophagidae
Tchitrea,Muscicapidae
Teledromas,Rhinocryptidae
Teleonema,Pipridae
Telmatodytes,Troglodytidae
Telophorus,Laniidae
Temnotrogon,Trogonidae
Temnurus,Corvidae
Tephrodornis,Campephagidae
Tephrozosterops,Zosteropidae
Terathopius,Accipitridae
Terenotriccus,Tyrannidae
Terenura,Formicariidae
Teretistris,Parulidae
Tersina,Tersinidae
Terpsiphone,Muscicapidae
Tetrao,Tetraonidae
Tetraogallus,Phasianidae
Tetrastes,Tetraonidae
Thalasseus,Laridae
Thalassoica,Procellariidae
Thalassornis,Anatidae
Thalurania,Trochilidae
Thamnistes,Formicariidae
Thamnocharis,Formicariidae
Thamnomanes,Formicariidae
Thamnophilus,Formicariidae
Thamnornis,Sylviidae
Thaumastura,Trochilidae
Theristicus,Threskiornithidae
Thescelocichla,Pycnonotidae
Thinocorus,Thinocoridae
Thinornis,Charadriidae
Thlypopsis,Thraupidae
Thomasophantes,Ploceidae
Thraupis,Thraupidae
Threnetes,Trochilidae
Thripadectes,Furnariidae
Thripias,Picidae
Thripophaga,Furnariidae
Thryomanes,Troglodytidae
Thryothorus,Troglodytidae
Tiaris,Fringillidae
Tichodroma,Sittidae
Tigriornis,Ardeidae
Tijuca,Cotingidae
Tilmatura,Trochilidae
Timalia,Timaliidae
Timeliopsis,Meliphagidae
Tinamotis,Tinamidae
Tinamus,Tinamidae
Tityra,Cotingidae
Tmetothylacus,Motacillidae
Todirostrum,Tyrannidae
Todopsis,Sylviidae
Todus,Todidae
Tolmomyias,Tyrannidae
Topaza,Trochilidae
Torgos,Accipitridae
Torreornis,Fringillidae
Touit,Psittacidae
Toxostoma,Mimidae
Trachyphonus,Capitonidae
Tragopan,Phasianidae
Tribonyx,Rallidae
Trichocichla,Sylviidae
Trichoglossus,Psittacidae
Tricholaema,Capitonidae
Tricholimnas,Rallidae
Trichopicus,Picidae
Trichothraupis,Thraupidae
Triclaria,Psittacidae
Trigonoceps,Accipitridae
Trochocercus,Muscicapidae
Trochilus,Trochilidae
Troglodytes,Troglodytidae
Trogon,Trogonidae
Tropicranus,Bucerotidae
Trugon,Columbidae
Tryngites,Scolopacidae
Tumbezia,Tyrannidae
Turacoena,Columbidae
Turnagra,Muscicapidae
Turnix,Turnicidae
Turtur,Columbidae
Tychaedon,Turdidae
Tylas,Pycnonotidae
Tylibyx,Charadriidae
Tympanuchus,Tetraonidae
Tyranneutes,Pipridae
Tyranniscus,Tyrannidae
Tyrannopsis,Tyrannidae
Tyrannulus,Tyrannidae
Tyrannus,Tyrannidae
Unatelornis,Coraciidae
Upupa,Upupidae
Uraeginthus,Ploceidae
Uragus,Fringillidae
Uria,Alcidae
Urochroa,Trochilidae
Urocissa,Corvidae
Urocynchramus,Fringillidae
Uroglaux,Strigidae
Urolais,Sylviidae
Urolestes,Laniidae
Uromyias,Tyrannidae
Uropelia,Columbidae
Uropsila,Troglodytidae
Uropsalis,Caprimulgidae
Urosticte,Trochilidae
Urotriorchis,Accipitridae
Urothraupis,Thraupidae
Vanga,Vangidae
Veniliornis,Picidae
Vermivora,Parulidae
Verreauxia,Picidae
Vestiaria,Drepanididae
Vidua,Ploceidae
Vini,Psittacidae
Vireo,Vireonidae
Vireolanius,Vireolaniidae
Viridibucco,Capitonidae
Vitia,Sylviidae
Volatinia,Fringillidae
Vosea,Meliphagidae
Vultur,Cathartidae
Warsanglia,Fringillidae
Wetmorethraupis,Thraupidae
Wilsonia,Parulidae
Woodfordia,Zosteropidae
Xanthocephalus,Icteridae
Xanthomyias,Tyrannidae
Xanthophilus,Ploceidae
Xanthoplectes,Ploceidae
Xanthopsar,Icteridae
Xanthotis,Meliphagidae
Xema,Laridae
Xenerpestes,Furnariidae
Xenicus,Acanthisittidae
Xenocopsychus,Turdidae
Xenodacnis,Coerebidae
Xenoligea,Parulidae
Xenopipo,Pipridae
Xenopirostris,Vangidae
Xenops,Furnariidae
Xenopsaris,Cotingidae
Xenorhynchus,Ciconiidae
Xenornis,Formicariidae
Xenospingus,Fringillidae
Xenospiza,Fringillidae
Xenotriccus,Tyrannidae
Xenus,NA
Xiphidiopicus,Picidae
Xiphidiopterus,Charadriidae
Xiphirhynchus,Timaliidae
Xiphocolaptes,Dendrocolaptidae
Xipholena,Cotingidae
Xiphorhynchus,Dendrocolaptidae
Xolmis,Tyrannidae
Yetapa,Tyrannidae
Yuhina,Timaliidae
Zanthomyza,Meliphagidae
Zaratornis,Cotingidae
Zarhynchus,Icteridae
Zavattariornis,Corvidae
Zebrilus,Ardeidae
Zeledonia,Zeledoniidae
Zonerodius,Ardeidae
Zonibyx,Charadriidae
Zonotrichia,Fringillidae
Zoonavena,Apodidae
Zosterops,Zosteropidae
Elanus,Accipitridae
Rhinoptilus,Glareolidae
Pseudhirundo,Hirundinidae
Buteo,Accipitridae
Ptyonoprogne,Hirundinidae
Olor,Anatidae
Zenaida,Columbidae
