Genus1974,Family1974
Certhiaxis,Furnariidae
Certhidea,Fringillidae
Certhilauda,Alaudidae
Certhionyx,Meliphagidae
Ceryle,Alcedinidae
Cettia,Sylviidae
Ceuthmochares,Cuculidae
Chaetocercus,Trochilidae
Chaetops,Turdidae
Chaetorhynchus,Dicruridae
Chaetura,Apodidae
Thamnolaea,Turdidae
Chalcites,Cuculidae
Nectarinia,Nectariniidae
Chalcophaps,Columbidae
Chalcopsitta,Psittacidae
Chalcostigma,Trochilidae
Chalcurus,Phasianidae
Chalybura,Trochilidae
Chamaea,Chamaeidae
Geothlypis,Parulidae
Chamaeza,Formicariidae
Charadrius,Charadriidae
Charitospiza,Fringillidae
Charmosyna,Psittacidae
Chasiempis,Muscicapidae
Chauna,Anhimidae
Chaunonotus,Laniidae
Chelictinia,Accipitridae
Chelidoptera,Bucconidae
Chen,Anatidae
Cygnus,Anatidae
Chenonetta,Anatidae
Chenorhamphus,Sylviidae
Cheramoeca,Hirundinidae
Chersophilus,Alaudidae
Vanellus,Charadriidae
Chilia,Furnariidae
Chionis,Chionididae
Chirocylla,Cotingidae
Chiroxiphia,Pipridae
Chlamydera,Ptilonorhynchidae
Chlamydochaera,Campephagidae
Chlamydotis,Otididae
Chlidonias,Laridae
Chloebia,Ploceidae
Chloephaga,Anatidae
Chlorestes,Trochilidae
Chloroceryle,Alcedinidae
Chlorocharis,Zosteropidae
Chlorochrysa,Thraupidae
Chlorocichla,Pycnonotidae
Chloropeta,Muscicapidae
Chloropetella,Muscicapidae
Chlorophanes,Coerebidae
Chlorophoneus,Laniidae
Chlorophonia,Thraupidae
Chloropipo,Pipridae
Chloropsis,Irenidae
Chlorornis,Thraupidae
Chlorospingus,Thraupidae
Chlorostilbon,Trochilidae
Chlorothraupis,Thraupidae
Chlorura,Fringillidae
Chondestes,Fringillidae
Chondrohierax,Accipitridae
Chordeiles,Caprimulgidae
Choriotis,Otididae
Chrysococcyx,Cuculidae
Chrysocolaptes,Picidae
Ptilinopus,Columbidae
Chrysolampis,Trochilidae
Chrysolophus,Phasianidae
Chrysomma,Timaliidae
Chrysoptilus,Picidae
Chrysothlypis,Thraupidae
Chrysuronia,Trochilidae
Chthonicola,Sylviidae
Chubbia,NA
Chunga,Cariamidae
Ciccaba,Strigidae
Cichladusa,Turdidae
Cichlauda,Turdidae
Cichlherminia,Turdidae
Cichlocolaptes,Furnariidae
Cichlornis,Sylviidae
Cicinnurus,Paradisaeidae
Ciconia,Ciconiidae
Cinclidium,Turdidae
Cinclocerthia,Mimidae
Cinclodes,Furnariidae
Cinclorhamphus,Sylviidae
Cinclosoma,Timaliidae
Cinclus,Cinclidae
Cinnycerthia,Troglodytidae
Cinnyricinclus,Sturnidae
Circaetus,Accipitridae
Circus,Accipitridae
Cissa,Corvidae
Cissilopha,Corvidae
Myzomela,Meliphagidae
Cissopis,Thraupidae
Cisticola,Sylviidae
Cistothorus,Troglodytidae
Cittura,Alcedinidae
Cladorhynchus,Recurvirostridae
Clamator,Cuculidae
Clangula,Anatidae
Claravis,Columbidae
Cleptornis,Meliphagidae
Clibanornis,Furnariidae
Climacteris,Neosittidae
Clypicterus,Icteridae
Clytoceyx,Alcedinidae
Clytoctantes,Formicariidae
Clytolaema,Trochilidae
Clytorhynchus,Muscicapidae
Clytospiza,Ploceidae
Cnemophilus,Paradisaeidae
Cnemoscopus,Thraupidae
Cnemotriccus,Tyrannidae
Cnipodectes,Tyrannidae
Coccopygia,Ploceidae
Coccothraustes,Fringillidae
Lamprotornis,Sturnidae
Coccyzus,Cuculidae
Cochlearius,Cochleariidae
Cochoa,Turdidae
Coeligena,Trochilidae
Coenocorypha,Scolopacidae
Coereba,Coerebidae
Colaptes,Picidae
Colibri,Trochilidae
Colonia,Tyrannidae
Colinus,Phasianidae
Colius,Coliidae
Coliuspasser,Ploceidae
Collocalia,Apodidae
Colluricincla,Muscicapidae
