"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974","Genus2023","Genus1974"
"249","Pandion haliaetus.1","Osprey","ats’áts’","Pandionidae","Accipitriformes",47,27.7,17.3,19.6,49.8,468.4,204.8,253,44.9,201.3,1483.2,"Pandion haliaetus","Pandion haliaetus","Osprey","Pandionidae","Tlingit",56,"Falconiformes","Pandion","Pandion"
"250","Stercorarius parasiticus","Parasitic Jaeger","lawúx","Stercorariidae","Charadriiformes",36.1,12,5.7,9,41.5,310.5,188.3,124.5,60.2,172,444.3,"Stercorarius parasiticus","Stercorarius parasiticus","Parasitic Jaeger","Stercorariidae","Tlingit",57,"Charadriiformes","Stercorarius","Stercorarius"
"251","Urile pelagicus","Pelagic Cormorant","yook","Phalacrocoracidae","Suliformes",51.9,38.8,8.4,10,53.6,254.4,87,171.3,33.6,137.4,1844,"Phalacrocorax pelagicus","Phalacrocorax pelagicus","Pelagic Cormorant","Phalacrocoracidae","Tlingit",58,"Pelecaniformes","Urile","Phalacrocorax"
"252","Falco peregrinus.1","Peregrine Falcon","shaayáal","Falconidae","Falconiformes",31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,"Falco peregrinus","Falco peregrinus","Peregrine Falcon","Falconidae","Tlingit",59,"Falconiformes","Falco","Falco"
"253","Cepphus columba","Pigeon Guillemot","x’adaax’aan","Alcidae","Charadriiformes",36.5,22.4,6.1,9.9,32,173.4,69.2,103.5,40.1,46.4,530,"Cepphus columba","Cepphus columba","Pigeon Guillemot","Alcidae","Tlingit",60,"Charadriiformes","Cepphus","Cepphus"
"254","Pinicola enucleator","Pine Grosbeak","Xunkáa","Fringillidae","Passeriformes",16.6,12.3,8.6,11.2,19.6,109.2,32.1,77.1,29.4,85.1,56.4,"Pinicola enucleator","Pinicola enucleator","Pine Grosbeak","Fringillidae","Tlingit",61,"Passeriformes","Pinicola","Pinicola"
"255","Spinus pinus","Pine Siskin","s’áas’","Fringillidae","Passeriformes",14,9,4.3,5.5,13.9,72.4,25.6,47,35.2,48.3,12.7,"Carduelis pinus","Carduelis pinus","Pine Siskin","Fringillidae","Tlingit",62,"Passeriformes","Spinus","Carduelis"
"256","Progne subis","Purple Martin","séewkooshdaneit","Hirundinidae","Passeriformes",16.8,9.4,5.9,4.8,15,147.2,76.6,70.7,52,72.4,53.8,"Progne subis","Progne subis","Purple Martin","Hirundinidae","Tlingit",63,"Passeriformes","Progne","Progne"
"257","Mergus serrator","Red-breasted Merganser","chaax","Anatidae","Anseriformes",65,42.8,8.2,10.6,45.5,233.6,114.8,118,49.3,76.2,1015.2,"Mergus serrator","Mergus serrator","Red-breasted Merganser","Anatidae","Tlingit",64,"Anseriformes","Mergus","Mergus"
"258","Phalaropus lobatus","Red-necked Phalarope","ch’eet","Scolopacidae","Charadriiformes",24.4,19.1,2.5,2.7,18.8,109,54.4,55.2,49.6,50.6,36.7,"Phalaropus lobatus","Phalaropus lobatus","Northern Phalarope","Phalaropodidae","Tlingit",65,"Charadriiformes","Phalaropus","Phalaropus"
"259","Buteo jamaicensis","Red-tailed Hawk","k’ákw","Accipitridae","Accipitriformes",37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Buteo jamaicensis","Buteo jamaicensis","Red-tailed Hawk","Accipitridae","Tlingit",66,"Falconiformes","Buteo","Buteo"
"260","Gavia stellata","Red-throated Loon","yeekagáaxi","Gaviidae","Gaviiformes",63.1,37.4,7.5,12.2,66.1,275.4,130.7,143.8,47.6,45.6,1486,"Gavia stellata","Gavia stellata","Red-throated Loon","Gaviidae","Tlingit",67,"Gaviiformes","Gavia","Gavia"
