"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974","Genus2023","Genus1974"
"387","Spinus psaltria","Lesser Goldfinch","mdzíl-dò","Fringillidae","Passeriformes",10.2,7.8,4.7,6.3,12.4,60.9,16.2,46.2,26,40.4,8.8,"Carduelis psaltria","Carduelis psaltria","Lesser Goldfinch","Fringillidae","Zapotec",61,"Passeriformes","Spinus","Carduelis"
"388","Geococcyx velox","Lesser Roadrunner","mriě","Cuculidae","Cuculiformes",42.8,24.9,8.7,10.8,47.7,141.7,9.3,133.8,6.5,269.3,179.9,"Geococcyx velox","Geococcyx velox","Lesser Roadrunner","Cuculidae","Zapotec",62,"Cuculiformes","Geococcyx","Geococcyx"
"389","Aythya affinis.1","Lesser Scaup","bǎd","Anatidae","Anseriformes",47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,"Aythya affinis","Aythya affinis","Lesser Scaup","Anatidae","Zapotec",63,"Anseriformes","Aythya","Aythya"
"390","Amazona finschi","Lilac-crowned Parrot","lòr","Psittacidae","Psittaciformes",35.4,28.7,18,31.9,21.2,192.4,69.8,121.7,36.5,109,302,"Amazona finschi","Amazona finschi","Lilac-crowned Amazon","Psittacidae","Zapotec",64,"Psittaciformes","Amazona","Amazona"
"391","Melospiza lincolnii","Lincoln's Sparrow","mtsùu","Passerellidae","Passeriformes",13.2,8,4,5.1,20.1,64,14.3,49.7,22.3,56.8,16.6,"Melospiza lincolnii","Zonotrichia lincolnii","Lincoln's Sparrow","Fringillidae","Zapotec",65,"Passeriformes","Melospiza","Zonotrichia"
"392","Dryocopus lineatus","Lineated Woodpecker","càrpìntêr","Picidae","Piciformes",41.3,30.5,11,10.2,28.6,184.7,41,144.9,22,122,183.2,"Dryocopus lineatus","Dryocopus lineatus","Lineated Woodpecker","Picidae","Zapotec",66,"Piciformes","Dryocopus","Dryocopus"
"393","Dendrortyx macroura","Long-tailed Wood-Partridge","mtsòo","Odontophoridae","Galliformes",20.4,12.5,12.8,14.4,50.3,165.2,20.8,144.5,12.5,143,431,"Dendrortyx macroura","Dendrortyx macroura","Long-tailed Wood-Partridge","Phasianidae","Zapotec",67,"Galliformes","Dendrortyx","Dendrortyx"
"394","Geothlypis tolmiei","MacGillivray's Warbler","wǐt","Parulidae","Passeriformes",13.4,7.7,3,3.3,20.9,58.1,13.2,44.5,22.9,52.9,10.4,"Oporornis tolmiei","Oporornis tolmiei","MacGillivray's Warbler","Parulidae","Zapotec",68,"Passeriformes","Geothlypis","Oporornis"
"395","Anas platyrhynchos.1","Mallard","bǎd","Anatidae","Anseriformes",58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,"Anas platyrhynchos","Anas platyrhynchos","Mallard","Anatidae","Zapotec",69,"Anseriformes","Anas","Anas"
"396","Poecile sclateri","Mexican Chickadee","mguîn̲-pàyâs","Paridae","Passeriformes",10.8,6.9,3.1,4.1,16.8,67.8,11.8,56,17.4,59.2,10.1,"Parus sclateri","Parus sclateri","Mexican Chickadee","Paridae","Zapotec",70,"Passeriformes","Poecile","Parus"
"397","Ara militaris","Military Macaw","měw","Psittacidae","Psittaciformes",56.6,49.3,27.2,57.2,28.8,366.7,151.2,216.8,41.1,366.1,1134,"Ara militaris","Ara militaris","Military Macaw","Psittacidae","Zapotec",71,"Psittaciformes","Ara","Ara"
"398","Cyrtonyx montezumae","Montezuma Quail","mtǒ","Odontophoridae","Galliformes",15.5,9,7.9,9.3,28.2,117.9,28.4,89.4,24.1,42.6,185.4,"Cyrtonyx montezumae","Cyrtonyx montezumae","Montezuma Quail","Phasianidae","Zapotec",72,"Galliformes","Cyrtonyx","Cyrtonyx"
"399","Ciccaba virgata","Mottled Owl","dǎm̲","Strigidae","Strigiformes",33,17.2,9,16.1,40.6,240.6,50.3,190.3,20.8,149.1,284,"Strix virgata","Ciccaba virgata","Mottled Owl","Strigidae","Zapotec",73,"Strigiformes","Ciccaba","Ciccaba"
"400","Trogon mexicanus","Mountain Trogon","mèr-dán","Trogonidae","Trogoniformes",20,11.4,9.8,9.8,14.8,147.6,60.3,86.7,41,180.6,71,"Trogon mexicanus","Trogon mexicanus","Mexican Trogon","Trogonidae","Zapotec",74,"Trogoniformes","Trogon","Trogon"
"401","Cairina moschata","Muscovy Duck","bǎd","Anatidae","Anseriformes",65.9,38.7,22.6,15.7,56.2,345,124,226.8,35.2,160.2,2415.8,"Cairina moschata","Cairina moschata","Muscovy Duck","Anatidae","Zapotec",75,"Anseriformes","Cairina","Cairina"
"402","Leiothlypis ruficapilla","Nashville Warbler","mguîn̲-tsíríic","Parulidae","Passeriformes",11.6,7,2.8,3.5,16.1,56.8,13.3,43.4,23.6,42.4,8.1,"Vermivora ruficapilla","Vermivora ruficapilla","Nashville Warbler","Parulidae","Zapotec",76,"Passeriformes","Leiothlypis","Vermivora"
"403","Mimus polyglottos","Northern Mockingbird","mquièts","Mimidae","Passeriformes",22.1,12.2,4.6,5.3,32.2,112.3,23.1,90.5,20.6,117.6,48.5,"Mimus polyglottos","Mimus polyglottos","Northern Mockingbird","Mimidae","Zapotec",77,"Passeriformes","Mimus","Mimus"
"404","Glaucidium gnoma.1","Northern Pygmy-Owl","mquí","Strigidae","Strigiformes",13.3,9,6.2,9.3,18.2,89.4,20.9,68.5,23.3,63.5,61.3,"Glaucidium gnoma","Glaucidium gnoma","Northern Pygmy Owl","Strigidae","Zapotec",78,"Strigiformes","Glaucidium","Glaucidium"
"405","Myiarchus nuttingi","Nutting's Flycatcher","mguîn̲-rchǔup","Tyrannidae","Passeriformes",17.5,12.3,6.5,5.5,18.9,83.2,14.9,65.6,18.5,81.9,23,"Myiarchus nuttingi","Myiarchus nuttingi","Nutting's Flycatcher","Tyrannidae","Zapotec",79,"Passeriformes","Myiarchus","Myiarchus"
"406","Catharus aurantiirostris","Orange-billed Nightingale-Thrush","mguîn̲-guìib-tsár","Turdidae","Passeriformes",16.9,9.6,4.2,4.6,30.4,76.8,12.5,63.5,16.4,60.5,29.8,"Catharus aurantiirostris","Catharus aurantiirostris","Orange-billed Nightingale-Thrush","Turdidae","Zapotec",80,"Passeriformes","Catharus","Catharus"
"407","Leiothlypis celata.1","Orange-crowned Warbler","wǐt","Parulidae","Passeriformes",11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.2,"Vermivora celata","Vermivora celata","Orange-crowned Warbler","Parulidae","Zapotec",81,"Passeriformes","Leiothlypis","Vermivora"
"408","Eupsittula canicularis","Orange-fronted Parakeet","pèrícw","Psittacidae","Psittaciformes",20.8,17.6,11.9,21,12.6,132.7,59,73.2,44.6,104,85,"Aratinga canicularis","Aratinga canicularis","Orange-fronted Conure","Psittacidae","Zapotec",82,"Psittaciformes","Eupsittula","Aratinga"
"409","Myioborus pictus","Painted Redstart","mguîn̲-mâ-zhiàn","Parulidae","Passeriformes",12,6.7,3.7,3.4,17.4,73.2,14.8,58.4,20.2,62.7,9.8,"Myioborus pictus","Setophaga pictus","Painted Redstart","Parulidae","Zapotec",83,"Passeriformes","Myioborus","Setophaga"
"410","Campephilus guatemalensis","Pale-billed Woodpecker","càrpìntêr","Picidae","Piciformes",47.7,35.7,13.2,12.4,35.2,180.8,36.5,137.5,21,107.5,242,"Campephilus guatemalensis","Phloeoceastes guatemalensis","Pale-billed Woodpecker","Picidae","Zapotec",84,"Piciformes","Campephilus","Phloeoceastes"
"411","Falco peregrinus.2","Peregrine Falcon","msì","Falconidae","Falconiformes",31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,"Falco peregrinus","Falco peregrinus","Peregrine Falcon","Falconidae","Zapotec",85,"Falconiformes","Falco","Falco"
"412","Empidonax affinis","Pine Flycatcher","wǐt","Tyrannidae","Passeriformes",14,8.4,4.4,3.4,15.2,71.8,15.5,56,21.7,59.4,11.3,"Empidonax affinis","Empidonax affinis","Pine Flycatcher","Tyrannidae","Zapotec",86,"Passeriformes","Empidonax","Empidonax"
"413","Cardellina rubra","Red Warbler","x-quǐit-ngùbìdz","Parulidae","Passeriformes",11.4,6.6,3.3,3.7,18.3,61.2,10.2,50.9,16.7,58.6,8.1,"Ergaticus ruber","Ergaticus ruber","Red Warbler","Parulidae","Zapotec",87,"Passeriformes","Cardellina","Ergaticus"
"414","Cardellina rubrifrons","Red-faced Warbler","wǐt","Parulidae","Passeriformes",11.7,6.8,3.5,4.1,16.9,67.5,14.4,53.1,21.3,60.9,8.1,"Cardellina rubrifrons","Cardellina rubrifrons","Red-faced Warbler","Parulidae","Zapotec",88,"Passeriformes","Cardellina","Cardellina"
"415","Buteo jamaicensis.1","Red-tailed Hawk","msì","Accipitridae","Accipitriformes",37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Buteo jamaicensis","Buteo jamaicensis","Red-tailed Hawk","Accipitridae","Zapotec",89,"Falconiformes","Buteo","Buteo"
"416","Columba livia.1","Rock Pigeon","pàlôm","Columbidae","Columbiformes",23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,"Columba livia","Columba livia","Rock Dove","Columbidae","Zapotec",90,"Columbiformes","Columba","Columba"
"417","Salpinctes obsoletus","Rock Wren","nguzhǐn","Troglodytidae","Passeriformes",19.9,12.6,2.9,3.4,20.1,69,11.8,56.6,17.3,55.6,16.4,"Salpinctes obsoletus","Salpinctes obsoletus","Rock Wren","Troglodytidae","Zapotec",91,"Passeriformes","Salpinctes","Salpinctes"
"418","Archilochus colubris","Ruby-throated Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,65,24.3,3.1,"Archilochus colubris","Archilochus colubris","Ruby-throated Hummingbird","Trochilidae","Zapotec",92,"Apodiformes","Archilochus","Archilochus"
"419","Catharus frantzii","Ruddy-capped Nightingale-Thrush","mguîn̲-guìib-tsár","Turdidae","Passeriformes",17.1,9.7,4.2,4.4,33.1,86.3,15.8,73,17.8,75.9,28.9,"Catharus frantzii","Catharus frantzii","Ruddy-capped Nightingale-Thrush","Turdidae","Zapotec",93,"Passeriformes","Catharus","Catharus"
"420","Selasphorus rufus.1","Rufous Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Selasphorus rufus","Selasphorus rufus","Rufous Hummingbird","Trochilidae","Zapotec",94,"Apodiformes","Selasphorus","Selasphorus"
"421","Basileuterus rufifrons","Rufous-capped Warbler","mguîn̲-dǎm̲","Parulidae","Passeriformes",12.6,7.2,3.9,4,20.1,51.1,5.7,44.6,11.3,61.8,10.4,"Basileuterus rufifrons","Basileuterus rufifrons","Rufous-capped Warbler","Parulidae","Zapotec",95,"Passeriformes","Basileuterus","Basileuterus"
"422","Aimophila ruficeps","Rufous-crowned Sparrow","mtsùu","Passerellidae","Passeriformes",14.9,8.2,4.1,5,19.8,59.9,7.7,52.2,12.8,62,18.7,"Aimophila ruficeps","Aimophila ruficeps","Rufous-crowned Sparrow","Fringillidae","Zapotec",96,"Passeriformes","Aimophila","Aimophila"
"423","Catharus occidentalis","Russet Nightingale-Thrush","mguîn̲-guìib-tsár","Turdidae","Passeriformes",20.7,9,3.6,3.8,31.3,88.6,19.2,69.8,21.6,75,26.2,"Catharus occidentalis","Catharus occidentalis","Russet Nightingale-Thrush","Turdidae","Zapotec",97,"Passeriformes","Catharus","Catharus"
"424","Sayornis saya","Say's Phoebe","cùchguêr","Tyrannidae","Passeriformes",19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,"Sayornis saya","Sayornis saya","Say's Phoebe","Tyrannidae","Zapotec",98,"Passeriformes","Sayornis","Sayornis"
"425","Buteo brachyurus","Short-tailed Hawk","msì","Accipitridae","Accipitriformes",31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,"Buteo brachyurus","Buteo brachyurus","Short-tailed Hawk","Accipitridae","Zapotec",99,"Falconiformes","Buteo","Buteo"
"426","Myioborus miniatus","Slate-throated Redstart","mguîn̲-mâ-zhiàn","Parulidae","Passeriformes",11.9,7,4.1,3.3,17.7,63.6,10.6,52,17,64.9,9,"Myioborus miniatus","Myioborus miniatus","Slate-throated Redstart","Parulidae","Zapotec",100,"Passeriformes","Myioborus","Myioborus"
"427","Cyanocitta stelleri.1","Steller's Jay","cuǐl̲","Corvidae","Passeriformes",33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.7,133.2,128,"Cyanocitta stelleri","Cyanocitta stelleri","Steller's Jay","Corvidae","Zapotec",101,"Passeriformes","Cyanocitta","Cyanocitta"
"428","Asio stygius","Stygian Owl","dǎm̲","Strigidae","Strigiformes",41.8,20.3,9.9,17.1,42.5,326.8,132.9,186.1,41.6,173.7,565,"Asio stygius","Asio stygius","Stygian Owl","Strigidae","Zapotec",102,"Strigiformes","Asio","Asio"
"429","Piranga rubra","Summer Tanager","mguěy","Cardinalidae","Passeriformes",19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,"Piranga rubra","Piranga rubra","Summer Tanager","Thraupidae","Zapotec",103,"Passeriformes","Piranga","Piranga"
"430","Tyrannus crassirostris","Thick-billed Kingbird","cùchguêr","Tyrannidae","Passeriformes",30.1,20.6,12.6,10.3,19.7,126.3,36.3,88.3,29,96.8,55.9,"Tyrannus crassirostris","Tyrannus crassirostris","Thick-billed Kingbird","Tyrannidae","Zapotec",104,"Passeriformes","Tyrannus","Tyrannus"
"431","Setophaga townsendi.1","Townsend's Warbler","yěets","Parulidae","Passeriformes",12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,27.8,49.5,8.8,"Dendroica townsendi","Dendroica townsendi","Townsend's Warbler","Parulidae","Zapotec",105,"Passeriformes","Setophaga","Dendroica"
"432","Cathartes aura","Turkey Vulture","pěch","Cathartidae","Cathartiformes",51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,"Cathartes aura","Cathartes aura","Turkey Vulture","Cathartidae","Zapotec",106,"Falconiformes","Cathartes","Cathartes"
"433","Pooecetes gramineus","Vesper Sparrow","wǐt","Passerellidae","Passeriformes",12,7.7,4.9,6.6,20.1,78.6,18.8,60,23.9,59.6,25.7,"Pooecetes gramineus","Pooecetes gramineus","Vesper Sparrow","Fringillidae","Zapotec",107,"Passeriformes","Pooecetes","Pooecetes"
"434","Tachycineta thalassina.1","Violet-green Swallow","xlútsǐ","Hirundinidae","Passeriformes",9.9,5,3.6,3,11.3,115.5,63.6,53,54.5,48.1,14.1,"Tachycineta thalassina","Tachycineta thalassina","Violet-green Swallow","Hirundinidae","Zapotec",108,"Passeriformes","Tachycineta","Tachycineta"
"435","Tyrannus verticalis","Western Kingbird","cùchguêr","Tyrannidae","Passeriformes",21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,33.2,89.9,39.6,"Tyrannus verticalis","Tyrannus verticalis","Western Kingbird","Tyrannidae","Zapotec",109,"Passeriformes","Tyrannus","Tyrannus"
"436","Megascops trichopsis","Whiskered Screech-Owl","mquí","Strigidae","Strigiformes",19.7,9.8,5.1,10.1,24.9,148.8,36,112.7,24.2,77.2,88.3,"Megascops trichopsis","Otus trichopsis","Whiskered Owl","Strigidae","Zapotec",110,"Strigiformes","Megascops","Otus"
"437","Basilinna leucotis","White-eared Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",18.6,14.3,2.4,1.9,3.2,54.3,37.1,17.2,68.4,33.4,3.4,"Hylocharis leucotis","Hylocharis leucotis","White-eared Hummingbird","Trochilidae","Zapotec",111,"Apodiformes","Basilinna","Hylocharis"
"438","Lepidocolaptes leucogaster","White-striped Woodcreeper","ârbìtrò","Furnariidae","Passeriformes",36.1,28.1,4,5.6,21.5,115.5,31.9,83,27.8,102.4,36,"Lepidocolaptes leucogaster","Lepidocolaptes leucogaster","White-striped Woodcreeper","Dendrocolaptidae","Zapotec",112,"Passeriformes","Lepidocolaptes","Lepidocolaptes"
"439","Aeronautes saxatalis","White-throated Swift","xlútsǐ","Apodidae","Caprimulgiformes",7,3,2.9,2.5,10.6,140.3,98.2,42.1,69.8,63.7,32.1,"Aeronautes saxatalis","Aeronautes saxatalis","White-throated Swift","Apodidae","Zapotec",113,"Apodiformes","Aeronautes","Aeronautes"
"440","Melozone albicollis","White-throated Towhee","chûurr","Passerellidae","Passeriformes",16,10.6,6,8.4,26.6,81,9.7,71.3,11.9,89.2,46.4,"Pipilo albicollis","Pipilo albicollis","White-throated Towhee","Fringillidae","Zapotec",114,"Passeriformes","Melozone","Pipilo"
"441","Leptotila verreauxi","White-tipped Dove","guiès-ró-yù","Columbidae","Columbiformes",19.5,10,3.6,4,27.7,136.7,29.8,104.6,22.1,102.1,146.9,"Leptotila verreauxi","Leptotila verreauxi","White-tipped Dove","Columbidae","Zapotec",115,"Columbiformes","Leptotila","Leptotila"
"442","Cardellina pusilla.1","Wilson's Warbler","yěets","Parulidae","Passeriformes",11.6,6.6,3.2,3.1,17.9,56.3,11.5,44.1,20.7,48.1,7,"Wilsonia pusilla","Wilsonia pusilla","Wilson's Warbler","Parulidae","Zapotec",116,"Passeriformes","Cardellina","Wilsonia"
"443","Junco phaeonotus","Yellow-eyed Junco","mguîn̲-x-còl-nquǐts","Passerellidae","Passeriformes",12.9,8.2,4.6,5.9,21.4,77.7,16.6,61.3,21.2,68,20.4,"Junco phaeonotus","Junco phaeonotus","Mexican Junco","Fringillidae","Zapotec",117,"Passeriformes","Junco","Junco"
"444","Setophaga coronata","Yellow-rumped Warbler","wǐt","Parulidae","Passeriformes",13.1,7.2,3.3,3.4,18.7,73.8,18.8,55.2,25.4,56.5,11.9,"Dendroica coronata","Dendroica coronata","Yellow-rumped Warbler","Parulidae","Zapotec",118,"Passeriformes","Setophaga","Dendroica"
"445","Buteo albonotatus","Zone-tailed Hawk","msì","Accipitridae","Accipitriformes",35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,"Buteo albonotatus","Buteo albonotatus","Zone-tailed Hawk","Accipitridae","Zapotec",119,"Falconiformes","Buteo","Buteo"
"446","Anser cygnoides","Swan Goose","gâns","Anatidae","Anseriformes",92.7,42.5,24.2,19.9,76.1,422.2,195,227.2,46.1,122.8,3511.9,"Anser cygnoides","Anser cygnoid","Swan Goose","Anatidae","Zapotec",120,"Anseriformes","Anser","Anser"
"447","Meleagris gallopavo.1","Wild Turkey","mèr","Phasianidae","Galliformes",48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,"Meleagris gallopavo","Meleagris gallopavo","Wild Turkey","Meleagrididae","Zapotec",121,"Galliformes","Meleagris","Meleagris"
"448","Gallus gallus","Red Jungle Fowl","nguǐd","Phasianidae","Galliformes",30.9,15.4,8.9,8.9,68.1,218.2,48.9,167.6,22.5,194,751.7,"Gallus gallus","Gallus gallus","Red Jungle Fowl","Phasianidae","Zapotec",122,"Galliformes","Gallus","Gallus"
"449","Turdus migratorius.1","American Robin","miân","Turdidae","Passeriformes",23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Turdus migratorius","Turdus migratorius","American Robin","Turdidae","Zapotec",123,"Passeriformes","Turdus","Turdus"
"450","Sayornis nigricans","Black Phoebe","mguîn̲-guiùu","Tyrannidae","Passeriformes",18.1,9.9,5.9,4,17.4,86.3,19.4,68.9,22,77.2,18.6,"Sayornis nigricans","Sayornis nigricans","Black Phoebe","Tyrannidae","Zapotec",124,"Passeriformes","Sayornis","Sayornis"
"451","Molothrus aeneus","Bronzed Cowbird","sànât-bûrr","Icteridae","Passeriformes",20.6,13.9,5.7,9.1,27.6,104.8,25.4,76.4,24.9,74.8,62.6,"Molothrus aeneus","Molothrus aeneus","Bronzed Cowbird","Icteridae","Zapotec",125,"Passeriformes","Molothrus","Molothrus"
"452","Bubulcus ibis","Western Cattle Egret","gàrs","Ardeidae","Pelecaniformes",63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,366,"Bubulcus ibis","Bubulcus ibis","Cattle Egret","Ardeidae","Zapotec",126,"Ciconiiformes","Bubulcus","Bubulcus"
"453","Myiarchus tuberculifer","Dusky-capped Flycatcher","mguîn̲-rchǔup","Tyrannidae","Passeriformes",21.1,12.9,7.1,5.2,20.1,80.4,15.5,66.8,18.8,76.5,17.7,"Myiarchus tuberculifer","Myiarchus tuberculifer","Olivaceous Flycatcher","Tyrannidae","Zapotec",127,"Passeriformes","Myiarchus","Myiarchus"
"454","Henicorhina leucophrys","Gray-breasted Wood-Wren","nguzhǐn","Troglodytidae","Passeriformes",16.8,9.9,3.2,3.4,24.1,53.6,4.5,48.5,8.5,29.8,16.2,"Henicorhina leucophrys","Henicorhina leucophrys","Gray-breasted Wood-Wren","Troglodytidae","Zapotec",128,"Passeriformes","Henicorhina","Henicorhina"
"455","Bubo virginianus.1","Great Horned Owl","dǎm̲","Strigidae","Strigiformes",42.2,22.5,14.9,22.8,70.1,351.7,112.9,240.9,32,188.4,1354.5,"Bubo virginianus","Bubo virginianus","Great Horned Owl","Strigidae","Zapotec",129,"Strigiformes","Bubo","Bubo"
"456","Passer domesticus","House Sparrow","mguîn̲-mòlîn","Passeridae","Passeriformes",13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,"Passer domesticus","Passer domesticus","House Sparrow","Ploceidae","Zapotec",130,"Passeriformes","Passer","Passer"
"457","Troglodytes aedon","House Wren","nguzhǐn","Troglodytidae","Passeriformes",15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,"Troglodytes aedon","Troglodytes aedon","Northern House Wren","Troglodytidae","Zapotec",131,"Passeriformes","Troglodytes","Troglodytes"
"458","Colibri thalassinus","Mexican Violetear","dzǐn̲g","Trochilidae","Caprimulgiformes",23.9,20,2,1.8,6.1,63,33.2,24.8,57.2,42,5.9,"Colibri thalassinus","Colibri thalassinus","Green Violetear","Trochilidae","Zapotec",132,"Apodiformes","Colibri","Colibri"
"459","Zenaida macroura.1","Mourning Dove","mézh","Columbidae","Columbiformes",19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Zenaida macroura","Zenaida macroura","Mourning Dove","Columbidae","Zapotec",133,"Columbiformes","Zenaida","Zenaida"
"460","Colaptes auratus.1","Northern Flicker","mguîn̲-pliêgw","Picidae","Piciformes",40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,"Colaptes auratus","Colaptes auratus","Common Flicker","Picidae","Zapotec",134,"Piciformes","Colaptes","Colaptes"
"461","Eugenes fulgens","Rivoli's Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",33.4,26,2.8,2.5,6.4,67.4,44,23.4,65.3,44.5,8,"Eugenes fulgens","Eugenes fulgens","Rivoli's Hummingbird","Trochilidae","Zapotec",135,"Apodiformes","Eugenes","Eugenes"
"462","Oxyura jamaicensis","Ruddy Duck","bǎd","Anatidae","Anseriformes",45.4,24.4,20.9,10.5,31.8,139.6,59.5,82.8,41.9,70.2,608.2,"Oxyura jamaicensis","Oxyura jamaicensis","Ruddy Duck","Anatidae","Zapotec",136,"Anseriformes","Oxyura","Oxyura"
"463","Accipiter striatus.1","Sharp-shinned Hawk","msì","Accipitridae","Accipitriformes",18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Accipiter striatus","Accipiter striatus","Sharp-shinned Hawk","Accipitridae","Zapotec",137,"Falconiformes","Accipiter","Accipiter"
"464","Mitrephanes phaeocercus","Tufted Flycatcher","wǐt","Tyrannidae","Passeriformes",12.1,6.4,4.4,2.6,12.6,70,17.4,51.4,25.3,63,8.6,"Mitrephanes phaeocercus","Mitrephanes phaeocercus","Tufted Flycatcher","Tyrannidae","Zapotec",138,"Passeriformes","Mitrephanes","Mitrephanes"
"465","Vireo gilvus","Warbling Vireo","mtsùu","Vireonidae","Passeriformes",14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.7,"Vireo gilvus","Vireo gilvus","Warbling Vireo","Vireonidae","Zapotec",139,"Passeriformes","Vireo","Vireo"
"466","Ortalis poliocephala","West Mexican Chachalaca","chìchàlác","Cracidae","Galliformes",33,17.3,10.1,11.2,76,260,25.2,233,9.9,291.8,760,"Ortalis poliocephala","Ortalis poliocephala","West Mexican Chachalaca","Cracidae","Zapotec",140,"Galliformes","Ortalis","Ortalis"
"467","Zenaida asiatica","White-winged Dove","còolíchè","Columbidae","Columbiformes",24,14.4,4.2,4.5,24.8,160.8,57,104.8,35.2,116.2,153,"Zenaida asiatica","Zenaida asiatica","White-winged Dove","Columbidae","Zapotec",141,"Columbiformes","Zenaida","Zenaida"
"468","Sphyrapicus varius","Yellow-bellied Sapsucker","càrpìntêr","Picidae","Piciformes",24.8,19.2,6.7,6.3,20.5,124.8,42.2,82.6,33.9,74,50.3,"Sphyrapicus varius","Sphyrapicus varius","Common Sapsucker","Picidae","Zapotec",142,"Piciformes","Sphyrapicus","Sphyrapicus"
"469","Patagioenas fasciata.1","Band-tailed Pigeon","pàlôm","Columbidae","Columbiformes",25.5,15.1,6,6.1,26.5,205.4,73.8,131.3,36,141.5,366.3,"Patagioenas fasciata","Columba fasciata","Band-tailed Pigeon","Columbidae","Zapotec",143,"Columbiformes","Patagioenas","Columba"
"470","Vireo cassinii","Cassin's Vireo","mtsùu","Vireonidae","Passeriformes",14.7,7.7,4.1,4.3,19.3,73.6,20.5,53,27.9,51,14.7,"Vireo cassinii","Vireo solitarius","Solitary Vireo","Vireonidae","Zapotec",144,"Passeriformes","Vireo","Vireo"
"471","Arremon brunneinucha","Chestnut-capped Brushfinch","mguîn̲-wchǔup","Passerellidae","Passeriformes",19.5,11.8,6.1,7.4,28.8,80.8,7.5,74.9,9.1,84.7,44,"Arremon brunneinucha","Atlapetes brunneinucha","Chestnut-capped Brush-Finch","Fringillidae","Zapotec",145,"Passeriformes","Arremon","Atlapetes"
"472","Caracara plancus","Crested Caracara","mguîn̲-rlæ̌-dzìt","Falconidae","Falconiformes",44.6,30.3,14.5,23.7,81.9,380,101.7,276.8,26.7,205.7,1078.6,"Caracara cheriway","Caracara cheriway","Northern Crested Caracara","Falconidae","Zapotec",146,"Falconiformes","Caracara","Caracara"
"473","Antrostomus arizonae","Mexican Whip-poor-will","pùrpùrwít","Caprimulgidae","Caprimulgiformes",22.1,7.7,4.4,3,16.8,159.3,76.9,82.4,48.3,111.9,53.3,"Caprimulgus vociferus","Caprimulgus vociferus","Whip-poor-will","Caprimulgidae","Zapotec",147,"Caprimulgiformes","Antrostomus","Caprimulgus"
"474","Circus hudsonius.1","Northern Harrier","msì","Accipitridae","Accipitriformes",31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.7,212.9,393,"Circus cyaneus","Circus cyaneus","Marsh Hawk","Accipitridae","Zapotec",148,"Falconiformes","Circus","Circus"
"475","Stelgidopteryx serripennis.1","Northern Rough-winged Swallow","xlútsǐ","Hirundinidae","Passeriformes",10.4,4.8,3.4,2.5,11.1,107.2,54.7,53.1,50.7,47.6,15.7,"Stelgidopteryx serripennis","Stelgidopteryx ruficollis","Rough-winged Swallow","Hirundinidae","Zapotec",149,"Passeriformes","Stelgidopteryx","Stelgidopteryx"
