ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
Rallina forbesi,Forbes's Rail,Rallidae,Rallicula forbesi,Forbes's Forest Rail,Sarothruridae
Rallina mayri,Mayr's Rail,Rallidae,Rallicula mayri,Mayr's Forest Rail,Sarothruridae
Anurolimnas castaneiceps,Chestnut-headed Crake,Rallidae,Rufirallus castaneiceps,Chestnut-headed Crake,Rallidae
Anurolimnas viridis,Russet-crowned Crake,Rallidae,Rufirallus viridis,Russet-crowned Crake,Rallidae
Mundia elpenor,Ascension Crake,Rallidae,Mundia elpenor,Ascension Crake,Rallidae
Cyanolimnas cerverai,Zapata Rail,Rallidae,Mustelirallus cerverai,Zapata Rail,Rallidae
Porphyrio hochstetteri,South Island Takahe,Rallidae,Porphyrio hochstetteri,South Island Takahe,Rallidae
Eupodotis savilei,Savile's Bustard,Otididae,Lophotis savilei,Savile's Bustard,Otididae
Eupodotis gindiana,Buff-crested Bustard,Otididae,Lophotis gindiana,Buff-crested Bustard,Otididae
Eupodotis ruficrista,Red-crested Bustard,Otididae,Lophotis ruficrista,Red-crested Bustard,Otididae
Eupodotis afraoides,White-quilled Bustard,Otididae,Afrotis afraoides,White-quilled Bustard,Otididae
Eupodotis afra,Black Bustard,Otididae,Afrotis afra,Black Bustard,Otididae
Eupodotis rueppelii,Rüppell's Bustard,Otididae,Heterotetrax rueppelii,Rüppell's Bustard,Otididae
Eupodotis vigorsii,Karoo Bustard,Otididae,Heterotetrax vigorsii,Karoo Bustard,Otididae
Eupodotis humilis,Little Brown Bustard,Otididae,Heterotetrax humilis,Little Brown Bustard,Otididae
Gallinago paraguaiae,Paraguayan Snipe,Scolopacidae,Gallinago paraguaiae,Pantanal Snipe,Scolopacidae
Burhinus bistriatus,Double-striped Thick-knee,Burhinidae,Hesperoburhinus bistriatus,Double-striped Thick-knee,Burhinidae
Burhinus superciliaris,Peruvian Thick-knee,Burhinidae,Hesperoburhinus superciliaris,Peruvian Thick-knee,Burhinidae
Charadrius obscurus,Red-breasted Dotterel,Charadriidae,Anarhynchus obscurus,Red-breasted Dotterel,Charadriidae
Charadrius wilsonia,Wilson's Plover,Charadriidae,Anarhynchus wilsonia,Wilson's Plover,Charadriidae
Charadrius thoracicus,Madagascar Plover,Charadriidae,Anarhynchus thoracicus,Madagascar Plover,Charadriidae
Charadrius sanctaehelenae,St. Helena Plover,Charadriidae,Anarhynchus sanctaehelenae,St. Helena Plover,Charadriidae
Charadrius pecuarius,Kittlitz's Plover,Charadriidae,Anarhynchus pecuarius,Kittlitz's Plover,Charadriidae
Charadrius pallidus,Chestnut-banded Plover,Charadriidae,Anarhynchus pallidus,Chestnut-banded Plover,Charadriidae
Charadrius alexandrinus,Kentish Plover,Charadriidae,Anarhynchus alexandrinus,Kentish Plover,Charadriidae
Charadrius dealbatus,White-faced Plover,Charadriidae,Anarhynchus dealbatus,White-faced Plover,Charadriidae
Charadrius nivosus,Snowy Plover,Charadriidae,Anarhynchus nivosus,Snowy Plover,Charadriidae
Charadrius marginatus,White-fronted Plover,Charadriidae,Anarhynchus marginatus,White-fronted Plover,Charadriidae
Charadrius ruficapillus,Red-capped Plover,Charadriidae,Anarhynchus ruficapillus,Red-capped Plover,Charadriidae
Charadrius peronii,Malaysian Plover,Charadriidae,Anarhynchus peronii,Malaysian Plover,Charadriidae
Charadrius javanicus,Javan Plover,Charadriidae,Anarhynchus javanicus,Javan Plover,Charadriidae
Charadrius collaris,Collared Plover,Charadriidae,Anarhynchus collaris,Collared Plover,Charadriidae
Charadrius bicinctus,Double-banded Plover,Charadriidae,Anarhynchus bicinctus,Double-banded Plover,Charadriidae
Charadrius alticola,Puna Plover,Charadriidae,Anarhynchus alticola,Puna Plover,Charadriidae
Charadrius falklandicus,Two-banded Plover,Charadriidae,Anarhynchus falklandicus,Two-banded Plover,Charadriidae
Charadrius mongolus,Lesser Sand-Plover,Charadriidae,,,
,,,Anarhynchus mongolus,Siberian Sand-Plover,Charadriidae
,,,Anarhynchus atrifrons,Tibetan Sand-Plover,Charadriidae
Charadrius leschenaultii,Greater Sand-Plover,Charadriidae,Anarhynchus leschenaultii,Greater Sand-Plover,Charadriidae
Charadrius asiaticus,Caspian Plover,Charadriidae,Anarhynchus asiaticus,Caspian Plover,Charadriidae
Charadrius veredus,Oriental Plover,Charadriidae,Anarhynchus veredus,Oriental Plover,Charadriidae
Charadrius montanus,Mountain Plover,Charadriidae,Anarhynchus montanus,Mountain Plover,Charadriidae
Charadrius modestus,Rufous-chested Dotterel,Charadriidae,Zonibyx modestus,Rufous-chested Dotterel,Charadriidae
Thinornis cucullatus,Hooded Plover,Charadriidae,Charadrius cucullatus,Hooded Plover,Charadriidae
