CommonNameV3,ScientificNameV3,Recognised
Spotted Whistling-duck,Dendrocygna guttata,R
Plumed Whistling-duck,Dendrocygna eytoni,R
Fulvous Whistling-duck,Dendrocygna bicolor,R
Wandering Whistling-duck,Dendrocygna arcuata,R
Lesser Whistling-duck,Dendrocygna javanica,R
White-faced Whistling-duck,Dendrocygna viduata,R
West Indian Whistling-duck,Dendrocygna arborea,R
Black-bellied Whistling-duck,Dendrocygna autumnalis,R
White-backed Duck,Thalassornis leuconotus,R
Cape Barren Goose,Cereopsis novaehollandiae,R
Swan Goose,Anser cygnoides,R
Pink-footed Goose,Anser brachyrhynchus,R
Bean Goose,Anser fabalis,R
,Anser middendorfi,NR
,Anser serrirostris,NR
Greater White-fronted Goose,Anser albifrons,R
Lesser White-fronted Goose,Anser erythropus,R
Greylag Goose,Anser anser,R
Bar-headed Goose,Anser indicus,R
Snow Goose,Chen caerulescens,R
Ross's Goose,Chen rossii,R
Emperor Goose,Chen canagica,R
,Branta canadensis,NR
Canada Goose,Branta canadensis,R
Cackling Goose,Branta hutchinsii,R
Hawaiian Goose,Branta sandvicensis,R
Barnacle Goose,Branta leucopsis,R
Brent Goose,Branta bernicla,R
,Branta hrota,NR
,Branta nigricans,NR
Red-breasted Goose,Branta ruficollis,R
Coscoroba Swan,Coscoroba coscoroba,R
Mute Swan,Cygnus olor,R
Black Swan,Cygnus atratus,R
Black-necked Swan,Cygnus melancoryphus,R
Whooper Swan,Cygnus cygnus,R
Trumpeter Swan,Cygnus buccinator,R
Tundra Swan,Cygnus columbianus,R
Bewick's Swan,Cygnus bewickii,UR
Freckled Duck,Stictonetta naevosa,R
Blue Duck,Hymenolaimus malacorhynchos,R
Flightless Steamerduck,Tachyeres pteneres,R
White-headed Steamerduck,Tachyeres leucocephalus,R
Falkland Steamerduck,Tachyeres brachypterus,R
Flying Steamerduck,Tachyeres patachonicus,R
Torrent Duck,Merganetta armata,R
Spur-winged Goose,Plectropterus gambensis,R
Comb Duck,Sarkidiornis melanotos,R
,Sarkidiornis sylvicola,NR
Blue-winged Goose,Cyanochen cyanoptera,R
Mauritius Shelduck,Alopochen mauritianus,R
Egyptian Goose,Alopochen aegyptiaca,R
Reunion Shelduck,Alopochen kervazoi,R
Orinoco Goose,Neochen jubata,R
Andean Goose,Chloephaga melanoptera,R
Upland Goose,Chloephaga picta,R
Kelp Goose,Chloephaga hybrida,R
Ashy-headed Goose,Chloephaga poliocephala,R
Ruddy-headed Goose,Chloephaga rubidiceps,R
Ruddy Shelduck,Tadorna ferruginea,R
South African Shelduck,Tadorna cana,R
Australian Shelduck,Tadorna tadornoides,R
Paradise Shelduck,Tadorna variegata,R
Crested Shelduck,Tadorna cristata,R
Common Shelduck,Tadorna tadorna,R
Radjah Shelduck,Tadorna radjah,R
Pink-eared Duck,Malacorhynchus membranaceus,R
Salvadori's Teal,Salvadorina waigiuensis,R
Muscovy Duck,Cairina moschata,R
White-winged Duck,Cairina scutulata,R
Hartlaub's Duck,Pteronetta hartlaubii,R
Wood Duck,Aix sponsa,R
Mandarin Duck,Aix galericulata,R
Australian Wood Duck,Chenonetta jubata,R
Green Pygmy-goose,Nettapus pulchellus,R
Cotton Pygmy-goose,Nettapus coromandelianus,R
African Pygmy-goose,Nettapus auritus,R
Brazilian Teal,Amazonetta brasiliensis,R
Ringed Teal,Callonetta leucophrys,R
Crested Duck,Lophonetta specularioides,R
Spectacled Duck,Speculanas specularis,R
Amsterdam Duck,Anas marecula,R
Mauritius Duck,Anas theodori,R
Cape Teal,Anas capensis,R
Gadwall,Anas strepera,R
Falcated Duck,Anas falcata,R
Eurasian Wigeon,Anas penelope,R
American Wigeon,Anas americana,R
Chiloe Wigeon,Anas sibilatrix,R
African Black Duck,Anas sparsa,R
American Black Duck,Anas rubripes,R
Mottled Duck,Anas fulvigula,R
Mallard,Anas platyrhynchos,R
,Anas oustaleti,NR
,Anas diazi,NR
Hawaiian Duck,Anas wyvilliana,R
Laysan Duck,Anas laysanensis,R
Spot-billed Duck,Anas poecilorhyncha,R
Eastern Spot-billed Duck,Anas zonorhyncha,UR
Philippine Duck,Anas luzonica,R
Pacific Black Duck,Anas superciliosa,R
Yellow-billed Duck,Anas undulata,R
Meller's Duck,Anas melleri,R
Blue-winged Teal,Anas discors,R
Cinnamon Teal,Anas cyanoptera,R
Cape Shoveler,Anas smithii,R
Red Shoveler,Anas platalea,R
Australasian Shoveler,Anas rhynchotis,R
Northern Shoveler,Anas clypeata,R
Madagascar Teal,Anas bernieri,R
Sunda Teal,Anas gibberifrons,R
Grey Teal,Anas gracilis,R
Chestnut Teal,Anas castanea,R
,Anas aucklandica,NR
Auckland Islands Teal,Anas aucklandica,R
Brown Teal,Anas chlorotis,R
Campbell Islands Teal,Anas nesiotis,R
White-cheeked Pintail,Anas bahamensis,R
Red-billed Duck,Anas erythrorhyncha,R
,Anas flavirostris,NR
Yellow-billed Teal,Anas flavirostris,R
Andean Teal,Anas andium,R
Northern Pintail,Anas acuta,R
Eaton's Pintail,Anas eatoni,R
Yellow-billed Pintail,Anas georgica,R
Garganey,Anas querquedula,R
Baikal Teal,Anas formosa,R
Common Teal,Anas crecca,R
,Anas crecca,NR
,Anas carolinensis,NR
Puna Teal,Anas puna,R
Silver Teal,Anas versicolor,R
Hottentot Teal,Anas hottentota,R
Marbled Teal,Marmaronetta angustirostris,R
Pink-headed Duck,Rhodonessa caryophyllacea,R
Red-crested Pochard,Netta rufina,R
Rosy-billed Pochard,Netta peposaca,R
Southern Pochard,Netta erythrophthalma,R
Common Pochard,Aythya ferina,R
Canvasback,Aythya valisineria,R
Redhead,Aythya americana,R
Ring-necked Duck,Aythya collaris,R
Ferruginous Duck,Aythya nyroca,R
Madagascar Pochard,Aythya innotata,R
Baer's Pochard,Aythya baeri,R
Hardhead,Aythya australis,R
Tufted Duck,Aythya fuligula,R
New Zealand Scaup,Aythya novaeseelandiae,R
Greater Scaup,Aythya marila,R
Lesser Scaup,Aythya affinis,R
Steller's Eider,Polysticta stelleri,R
Common Eider,Somateria mollissima,R
King Eider,Somateria spectabilis,R
Spectacled Eider,Somateria fischeri,R
Harlequin Duck,Histrionicus histrionicus,R
Labrador Duck,Camptorhynchus labradorius,R
Black Scoter,Melanitta nigra,R
American Scoter,Melanitta americana,UR
Surf Scoter,Melanitta perspicillata,R
White-winged Scoter,Melanitta fusca,R
White-winged Scoter,Melanitta deglandi,UR
Long-tailed Duck,Clangula hyemalis,R
Common Goldeneye,Bucephala clangula,R
Barrow's Goldeneye,Bucephala islandica,R
Bufflehead,Bucephala albeola,R
Smew,Mergellus albellus,R
Hooded Merganser,Lophodytes cucullatus,R
Brazilian Merganser,Mergus octosetaceus,R
Red-breasted Merganser,Mergus serrator,R
Scaly-sided Merganser,Mergus squamatus,R
Common Merganser,Mergus merganser,R
Auckland Islands Merganser,Mergus australis,R
Black-headed Duck,Heteronetta atricapilla,R
Masked Duck,Nomonyx dominicus,R
,Oxyura ferruginea,NR
,Oxyura jamaicensis,NR
