CommonNameV3,ScientificNameV3,Recognised
Chestnut-crowned Becard,Pachyramphus castaneus,R
White-winged Becard,Pachyramphus polychopterus,R
Grey-collared Becard,Pachyramphus major,R
Black-and-white Becard,Pachyramphus albogriseus,R
Black-capped Becard,Pachyramphus marginatus,R
Glossy-backed Becard,Pachyramphus surinamus,R
Cinereous Becard,Pachyramphus rufus,R
Slaty Becard,Pachyramphus spodiurus,R
Rose-throated Becard,Pachyramphus aglaiae,R
One-coloured Becard,Pachyramphus homochrous,R
Pink-throated Becard,Pachyramphus minor,R
Jamaican Becard,Pachyramphus niger,R
Crested Becard,Pachyramphus validus,R
Swallow-tailed Cotinga,Phibalura flavirostris,R
Red-crested Cotinga,Ampelion rubrocristatus,R
Chestnut-crested Cotinga,Ampelion rufaxilla,R
White-cheeked Cotinga,Zaratornis stresemanni,R
Chestnut-bellied Cotinga,Doliornis remseni,R
Bay-vented Cotinga,Doliornis sclateri,R
Peruvian Plantcutter,Phytotoma raimondii,R
White-tipped Plantcutter,Phytotoma rutila,R
Rufous-tailed Plantcutter,Phytotoma rara,R
Hooded Berryeater,Carpornis cucullata,R
Black-headed Berryeater,Carpornis melanocephala,R
Green-and-black Fruiteater,Pipreola riefferii,R
Band-tailed Fruiteater,Pipreola intermedia,R
Barred Fruiteater,Pipreola arcuata,R
Golden-breasted Fruiteater,Pipreola aureopectus,R
Orange-breasted Fruiteater,Pipreola jucunda,R
Black-chested Fruiteater,Pipreola lubomirskii,R
Masked Fruiteater,Pipreola pulchra,R
Fiery-throated Fruiteater,Pipreola chlorolepidota,R
Scarlet-breasted Fruiteater,Pipreola frontalis,R
Handsome Fruiteater,Pipreola formosa,R
Red-banded Fruiteater,Pipreola whitelyi,R
Sharpbill,Oxyruncus cristatus,R
Scaled Fruiteater,Ampelioides tschudii,R
Guianan Cock-of-the-rock,Rupicola rupicola,R
Andean Cock-of-the-rock,Rupicola peruvianus,R
Black-necked Red-cotinga,Phoenicircus nigricollis,R
Guianan Red-cotinga,Phoenicircus carnifex,R
Lovely Cotinga,Cotinga amabilis,R
Turquoise Cotinga,Cotinga ridgwayi,R
Blue Cotinga,Cotinga nattererii,R
Plum-throated Cotinga,Cotinga maynana,R
Purple-breasted Cotinga,Cotinga cotinga,R
Banded Cotinga,Cotinga maculata,R
Spangled Cotinga,Cotinga cayana,R
Three-wattled Bellbird,Procnias tricarunculatus,R
White Bellbird,Procnias albus,R
Bearded Bellbird,Procnias averano,R
Bare-throated Bellbird,Procnias nudicollis,R
Black-and-gold Cotinga,Tijuca atra,R
Grey-winged Cotinga,Tijuca condita,R
Dusky Piha,Lipaugus fuscocinereus,R
Screaming Piha,Lipaugus vociferans,R
Chestnut-capped Piha,Lipaugus weberi,R
Rufous Piha,Lipaugus unirufus,R
Cinnamon-vented Piha,Lipaugus lanioides,R
Rose-collared Piha,Lipaugus streptophorus,R
Scimitar-winged Piha,Lipaugus uropygialis,R
Black-faced Cotinga,Conioptilon mcilhennyi,R
Grey-tailed Piha,Snowornis subalaris,R
Olivaceous Piha,Snowornis cryptolophus,R
Purple-throated Cotinga,Porphyrolaema porphyrolaema,R
Pompadour Cotinga,Xipholena punicea,R
White-tailed Cotinga,Xipholena lamellipennis,R
White-winged Cotinga,Xipholena atropurpurea,R
Snowy Cotinga,Carpodectes nitidus,R
Yellow-billed Cotinga,Carpodectes antoniae,R
Black-tipped Cotinga,Carpodectes hopkei,R
Bare-necked Fruitcrow,Gymnoderus foetidus,R
Purple-throated Fruitcrow,Querula purpurata,R
Crimson Fruitcrow,Haematoderus militaris,R
Red-ruffed Fruitcrow,Pyroderus scutatus,R
,Pyroderus granadensis,NR
Capuchinbird,Perissocephalus tricolor,R
Bare-necked Umbrellabird,Cephalopterus glabricollis,R
Long-wattled Umbrellabird,Cephalopterus penduliger,R
Amazonian Umbrellabird,Cephalopterus ornatus,R
Kinglet Calyptura,Calyptura cristata,R
Planalto Tyrannulet,Phyllomyias fasciatus,R
Yungas Tyrannulet,Phyllomyias weedeni,R
,Phyllomyias zeledoni,NR
,Phyllomyias burmeisteri,NR
Rough-legged Tyrannulet,Phyllomyias burmeisteri,R
,Phyllomyias leucogonys,NR
Reiser's Tyrannulet,Phyllomyias reiseri,R
,Phyllomyias virescens,NR
Greenish Tyrannulet,Phyllomyias virescens,R
Urich's Tyrannulet,Phyllomyias urichi,R
Sclater's Tyrannulet,Phyllomyias sclateri,R
Grey-capped Tyrannulet,Phyllomyias griseocapilla,R
Sooty-headed Tyrannulet,Phyllomyias griseiceps,R
Plumbeous-crowned Tyrannulet,Phyllomyias plumbeiceps,R
Black-capped Tyrannulet,Phyllomyias nigrocapillus,R
Ashy-headed Tyrannulet,Phyllomyias cinereiceps,R
Tawny-rumped Tyrannulet,Phyllomyias uropygialis,R
Yellow-crowned Tyrannulet,Tyrannulus elatus,R
Forest Elaenia,Myiopagis gaimardii,R
Foothill Elaenia,Myiopagis olallai,R
Grey Elaenia,Myiopagis caniceps,R
Pacific Elaenia,Myiopagis subplacens,R
Yellow-crowned Elaenia,Myiopagis flavivertex,R
Jamaican Elaenia,Myiopagis cotta,R
Greenish Elaenia,Myiopagis viridicata,R
Caribbean Elaenia,Elaenia martinica,R
Yellow-bellied Elaenia,Elaenia flavogaster,R
Large Elaenia,Elaenia spectabilis,R
Noronha Elaenia,Elaenia ridleyana,R
White-crested Elaenia,Elaenia albiceps,R
Small-billed Elaenia,Elaenia parvirostris,R
Slaty Elaenia,Elaenia strepera,R
Olivaceous Elaenia,Elaenia mesoleuca,R
Mottle-backed Elaenia,Elaenia gigas,R
Brownish Elaenia,Elaenia pelzelni,R
Plain-crested Elaenia,Elaenia cristata,R
Rufous-crowned Elaenia,Elaenia ruficeps,R
Lesser Elaenia,Elaenia chiriquensis,R
Mountain Elaenia,Elaenia frantzii,R
Highland Elaenia,Elaenia obscura,R
Great Elaenia,Elaenia dayi,R
Sierran Elaenia,Elaenia pallatangae,R
Greater Antillean Elaenia,Elaenia fallax,R
White-lored Tyrannulet,Ornithion inerme,R
Yellow-bellied Tyrannulet,Ornithion semiflavum,R
Brown-capped Tyrannulet,Ornithion brunneicapillus,R
Northern Beardless-tyrannulet,Camptostoma imberbe,R
Southern Beardless-tyrannulet,Camptostoma obsoletum,R
,Suiriri affinis,NR
,Suiriri suiriri,NR
Suiriri Flycatcher,Suiriri suiriri,R
Chapada Flycatcher,Suiriri islerorum,R
White-throated Tyrannulet,Mecocerculus leucophrys,R
White-tailed Tyrannulet,Mecocerculus poecilocercus,R
Buff-banded Tyrannulet,Mecocerculus hellmayri,R
Rufous-winged Tyrannulet,Mecocerculus calopterus,R
Sulphur-bellied Tyrannulet,Mecocerculus minor,R
White-banded Tyrannulet,Mecocerculus stictopterus,R
Agile Tit-tyrant,Anairetes agilis,R
Unstreaked Tit-tyrant,Anairetes agraphia,R
Ash-breasted Tit-tyrant,Anairetes alpinus,R
Maranon Tit-tyrant,Anairetes nigrocristatus,R
Pied-crested Tit-tyrant,Anairetes reguloides,R
Yellow-billed Tit-tyrant,Anairetes flavirostris,R
Juan Fernandez Tit-tyrant,Anairetes fernandezianus,R
Tufted Tit-tyrant,Anairetes parulus,R
Torrent Tyrannulet,Serpophaga cinerea,R
Sooty Tyrannulet,Serpophaga nigricans,R
,Serpophaga araguayae,NR
River Tyrannulet,Serpophaga hypoleuca,R
White-crested Tyrannulet,Serpophaga subcristata,R
White-bellied Tyrannulet,Serpophaga munda,R
Mouse-coloured Tyrannulet,Phaeomyias murina,R
Yellow Tyrannulet,Capsiempis flaveola,R
Bearded Tachuri,Polystictus pectoralis,R
Grey-backed Tachuri,Polystictus superciliaris,R
Cocos Flycatcher,Nesotriccus ridgwayi,R
Crested Doradito,Pseudocolopteryx sclateri,R
Subtropical Doradito,Pseudocolopteryx acutipennis,R
Dinelli's Doradito,Pseudocolopteryx dinelliana,R
Warbling Doradito,Pseudocolopteryx flaviventris,R
Bronze-olive Pygmy-tyrant,Pseudotriccus pelzelni,R
Hazel-fronted Pygmy-tyrant,Pseudotriccus simplex,R
Rufous-headed Pygmy-tyrant,Pseudotriccus ruficeps,R
Ringed Antpipit,Corythopis torquatus,R
Southern Antpipit,Corythopis delalandi,R
Tawny-crowned Pygmy-tyrant,Euscarthmus meloryphus,R
Rufous-sided Pygmy-tyrant,Euscarthmus rufomarginatus,R
Grey-and-white Tyrannulet,Pseudelaenia leucospodia,R
Lesser Wagtail-tyrant,Stigmatura napensis,R
,Stigmatura bahiae,NR
Greater Wagtail-tyrant,Stigmatura budytoides,R
Paltry Tyrannulet,Zimmerius vilissimus,R
Mishana Tyrannulet,Zimmerius villarejoi,R
Venezuelan Tyrannulet,Zimmerius improbus,R
Bolivian Tyrannulet,Zimmerius bolivianus,R
Red-billed Tyrannulet,Zimmerius cinereicapilla,R
,Zimmerius gracilipes,NR
Slender-footed Tyrannulet,Zimmerius gracilipes,R
Guianan Tyrannulet,Zimmerius acer,R
,Zimmerius chrysops,NR
Golden-faced Tyrannulet,Zimmerius chrysops,R
Choco Tyrannulet,Zimmerius albigularis,R
Tschudi's Tyrannulet,Zimmerius viridiflavus,R
Marble-faced Bristle-tyrant,Phylloscartes ophthalmicus,R
Venezuelan Bristle-tyrant,Phylloscartes venezuelanus,R
Antioquia Bristle-tyrant,Phylloscartes lanyoni,R
Spectacled Bristle-tyrant,Phylloscartes orbitalis,R
Variegated Bristle-tyrant,Phylloscartes poecilotis,R
Southern Bristle-tyrant,Phylloscartes eximius,R
Black-fronted Tyrannulet,Phylloscartes nigrifrons,R
Chapman's Tyrannulet,Phylloscartes chapmani,R
Ecuadorian Tyrannulet,Phylloscartes gualaquizae,R
Cinnamon-faced Tyrannulet,Phylloscartes parkeri,R
Rufous-lored Tyrannulet,Phylloscartes flaviventris,R
Minas Gerais Tyrannulet,Phylloscartes roquettei,R
Sao Paulo Tyrannulet,Phylloscartes paulista,R
Oustalet's Tyrannulet,Phylloscartes oustaleti,R
Serra Do Mar Tyrannulet,Phylloscartes difficilis,R
Alagoas Tyrannulet,Phylloscartes ceciliae,R
Bahia Tyrannulet,Phylloscartes beckeri,R
Mottle-cheeked Tyrannulet,Phylloscartes ventralis,R
Restinga Tyrannulet,Phylloscartes kronei,R
Yellow-green Tyrannulet,Phylloscartes flavovirens,R
Olive-green Tyrannulet,Phylloscartes virescens,R
Rufous-browed Tyrannulet,Phylloscartes superciliaris,R
Bay-ringed Tyrannulet,Phylloscartes sylviolus,R
Streak-necked Flycatcher,Mionectes striaticollis,R
Olive-striped Flycatcher,Mionectes olivaceus,R
Ochre-bellied Flycatcher,Mionectes oleagineus,R
MacConnell's Flycatcher,Mionectes macconnelli,R
Grey-hooded Flycatcher,Mionectes rufiventris,R
Rufous-breasted Flycatcher,Leptopogon rufipectus,R
Inca Flycatcher,Leptopogon taczanowskii,R
Sepia-capped Flycatcher,Leptopogon amaurocephalus,R
Slaty-capped Flycatcher,Leptopogon superciliaris,R
Northern Scrub-flycatcher,Sublegatus arenarum,R
Todd's Scrub-flycatcher,Sublegatus obscurior,R
Southern Scrub-flycatcher,Sublegatus modestus,R
Slender-billed Tyrannulet,Inezia tenuirostris,R
Plain Tyrannulet,Inezia inornata,R
,Inezia subflava,NR
Amazonian Tyrannulet,Inezia subflava,R
Pale-tipped Tyrannulet,Inezia caudata,R
Flavescent Flycatcher,Myiophobus flavicans,R
Orange-crested Flycatcher,Myiophobus phoenicomitra,R
Unadorned Flycatcher,Myiophobus inornatus,R
Roraiman Flycatcher,Myiophobus roraimae,R
Handsome Flycatcher,Myiophobus pulcher,R
Orange-banded Flycatcher,Myiophobus lintoni,R
Ochraceous-breasted Flycatcher,Myiophobus ochraceiventris,R
Bran-coloured Flycatcher,Myiophobus fasciatus,R
Olive-chested Flycatcher,Myiophobus cryptoxanthus,R
Ornate Flycatcher,Myiotriccus ornatus,R
Many-coloured Rush-tyrant,Tachuris rubrigastra,R
Sharp-tailed Tyrant,Culicivora caudacuta,R
Snethlage's Tody-tyrant,Hemitriccus minor,R
Boat-billed Tody-tyrant,Hemitriccus josephinae,R
Flammulated Bamboo-tyrant,Hemitriccus flammulatus,R
Drab-breasted Bamboo-tyrant,Hemitriccus diops,R
Brown-breasted Bamboo-tyrant,Hemitriccus obsoletus,R
,Hemitriccus zosterops,NR
White-eyed Tody-tyrant,Hemitriccus zosterops,R
White-bellied Tody-tyrant,Hemitriccus griseipectus,R
Zimmer's Tody-tyrant,Hemitriccus minimus,R
Eye-ringed Tody-tyrant,Hemitriccus orbitatus,R
Johannes's Tody-tyrant,Hemitriccus iohannis,R
Stripe-necked Tody-tyrant,Hemitriccus striaticollis,R
Hangnest Tody-tyrant,Hemitriccus nidipendulus,R
Yungas Tody-tyrant,Hemitriccus spodiops,R
Pearly-vented Tody-tyrant,Hemitriccus margaritaceiventer,R
Pelzeln's Tody-tyrant,Hemitriccus inornatus,R
Black-throated Tody-tyrant,Hemitriccus granadensis,R
Buff-throated Tody-tyrant,Hemitriccus rufigularis,R
Cinnamon-breasted Tody-tyrant,Hemitriccus cinnamomeipectus,R
Buff-breasted Tody-tyrant,Hemitriccus mirandae,R
Kaempfer's Tody-tyrant,Hemitriccus kaempferi,R
Fork-tailed Pygmy-tyrant,Hemitriccus furcatus,R
White-bellied Pygmy-tyrant,Myiornis albiventris,R
Eared Pygmy-tyrant,Myiornis auricularis,R
Black-capped Pygmy-tyrant,Myiornis atricapillus,R
Short-tailed Pygmy-tyrant,Myiornis ecaudatus,R
Northern Bentbill,Oncostoma cinereigulare,R
Southern Bentbill,Oncostoma olivaceum,R
Scale-crested Pygmy-tyrant,Lophotriccus pileatus,R
Double-banded Pygmy-tyrant,Lophotriccus vitiosus,R
Long-crested Pygmy-tyrant,Lophotriccus eulophotes,R
Helmeted Pygmy-tyrant,Lophotriccus galeatus,R
Pale-eyed Pygmy-tyrant,Atalotriccus pilaris,R
Rufous-crowned Tody-flycatcher,Poecilotriccus ruficeps,R
Lulu's Tody-flycatcher,Poecilotriccus luluae,R
White-cheeked Tody-flycatcher,Poecilotriccus albifacies,R
Black-and-white Tody-flycatcher,Poecilotriccus capitalis,R
Buff-cheeked Tody-flycatcher,Poecilotriccus senex,R
Ruddy Tody-flycatcher,Poecilotriccus russatus,R
Ochre-faced Tody-flycatcher,Poecilotriccus plumbeiceps,R
Smoky-fronted Tody-flycatcher,Poecilotriccus fumifrons,R
Rusty-fronted Tody-flycatcher,Poecilotriccus latirostris,R
Slate-headed Tody-flycatcher,Poecilotriccus sylvia,R
Golden-winged Tody-flycatcher,Poecilotriccus calopterus,R
Black-backed Tody-flycatcher,Poecilotriccus pulchellus,R
Black-chested Tyrant,Taeniotriccus andrei,R
Spotted Tody-flycatcher,Todirostrum maculatum,R
Yellow-lored Tody-flycatcher,Todirostrum poliocephalum,R
Common Tody-flycatcher,Todirostrum cinereum,R
Maracaibo Tody-flycatcher,Todirostrum viridanum,R
Black-headed Tody-flycatcher,Todirostrum nigriceps,R
Painted Tody-flycatcher,Todirostrum pictum,R
Yellow-browed Tody-flycatcher,Todirostrum chrysocrotaphum,R
Brownish Twistwing,Cnipodectes subbrunneus,R
Rufous Twistwing,Cnipodectes superrufus,R
,Rhynchocyclus brevirostris,NR
Eye-ringed Flatbill,Rhynchocyclus brevirostris,R
Pacific Flatbill,Rhynchocyclus pacificus,R
Olivaceous Flatbill,Rhynchocyclus olivaceus,R
Fulvous-breasted Flatbill,Rhynchocyclus fulvipectus,R
Yellow-olive Flycatcher,Tolmomyias sulphurescens,R
Yellow-margined Flycatcher,Tolmomyias assimilis,R
,Tolmomyias flavotectus,NR
Grey-crowned Flycatcher,Tolmomyias poliocephalus,R
Yellow-breasted Flycatcher,Tolmomyias flaviventris,R
,Tolmomyias viridiceps,NR
Orange-eyed Flycatcher,Tolmomyias traylori,R
Cinnamon-crested Spadebill,Platyrinchus saturatus,R
Stub-tailed Spadebill,Platyrinchus cancrominus,R
White-throated Spadebill,Platyrinchus mystaceus,R
Golden-crowned Spadebill,Platyrinchus coronatus,R
Yellow-throated Spadebill,Platyrinchus flavigularis,R
White-crested Spadebill,Platyrinchus platyrhynchos,R
Russet-winged Spadebill,Platyrinchus leucoryphus,R
,Onychorhynchus coronatus,NR
Amazonian Royal Flycatcher,Onychorhynchus coronatus,R
Pacific Royal Flycatcher,Onychorhynchus occidentalis,R
Northern Royal Flycatcher,Onychorhynchus mexicanus,R
Atlantic Royal Flycatcher,Onychorhynchus swainsoni,R
Tawny-breasted Flycatcher,Myiobius villosus,R
,Myiobius barbatus,NR
Bearded Flycatcher,Myiobius barbatus,R
Sulphur-rumped Flycatcher,Myiobius sulphureipygius,R
Black-tailed Flycatcher,Myiobius atricaudus,R
Ruddy-tailed Flycatcher,Terenotriccus erythrurus,R
Cinnamon Manakin-tyrant,Neopipo cinnamomea,R
Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,R
,Hirundinea bellicosa,NR
,Hirundinea ferruginea,NR
Cliff Flycatcher,Hirundinea ferruginea,R
Euler's Flycatcher,Lathrotriccus euleri,R
Grey-breasted Flycatcher,Lathrotriccus griseipectus,R
Tawny-chested Flycatcher,Aphanotriccus capitalis,R
Black-billed Flycatcher,Aphanotriccus audax,R
Fuscous Flycatcher,Cnemotriccus fuscatus,R
Belted Flycatcher,Xenotriccus callizonus,R
Pileated Flycatcher,Xenotriccus mexicanus,R
Eastern Phoebe,Sayornis phoebe,R
Say's Phoebe,Sayornis saya,R
Black Phoebe,Sayornis nigricans,R
Tufted Flycatcher,Mitrephanes phaeocercus,R
Olive Flycatcher,Mitrephanes olivaceus,R
Olive-sided Flycatcher,Contopus cooperi,R
Greater Pewee,Contopus pertinax,R
Dark Pewee,Contopus lugubris,R
Smoke-coloured Pewee,Contopus fumigatus,R
Ochraceous Pewee,Contopus ochraceus,R
Western Wood-pewee,Contopus sordidulus,R
Eastern Wood-pewee,Contopus virens,R
Tropical Pewee,Contopus cinereus,R
Blackish Pewee,Contopus nigrescens,R
White-throated Pewee,Contopus albogularis,R
,Contopus caribaeus,NR
Greater Antillean Pewee,Contopus caribaeus,R
Jamaican Pewee,Contopus pallidus,R
Hispaniolan Pewee,Contopus hispaniolensis,R
Lesser Antillean Pewee,Contopus latirostris,R
Yellow-bellied Flycatcher,Empidonax flaviventris,R
Acadian Flycatcher,Empidonax virescens,R
Alder Flycatcher,Empidonax alnorum,R
Willow Flycatcher,Empidonax traillii,R
White-throated Flycatcher,Empidonax albigularis,R
Least Flycatcher,Empidonax minimus,R
Hammond's Flycatcher,Empidonax hammondii,R
Grey Flycatcher,Empidonax wrightii,R
American Dusky Flycatcher,Empidonax oberholseri,R
Pine Flycatcher,Empidonax affinis,R
Pacific-slope Flycatcher,Empidonax difficilis,R
Cordilleran Flycatcher,Empidonax occidentalis,R
Yellowish Flycatcher,Empidonax flavescens,R
Buff-breasted Flycatcher,Empidonax fulvifrons,R
Black-capped Flycatcher,Empidonax atriceps,R
Vermilion Flycatcher,Pyrocephalus rubinus,R
Andean Negrito,Lessonia oreas,R
Patagonian Negrito,Lessonia rufa,R
Cinereous Tyrant,Knipolegus striaticeps,R
Hudson's Black-tyrant,Knipolegus hudsoni,R
Amazonian Black-tyrant,Knipolegus poecilocercus,R
Andean Tyrant,Knipolegus signatus,R
,Knipolegus cabanisi,NR
Blue-billed Black-tyrant,Knipolegus cyanirostris,R
Rufous-tailed Tyrant,Knipolegus poecilurus,R
Riverside Tyrant,Knipolegus orenocensis,R
,Knipolegus aterrimus,NR
White-winged Black-tyrant,Knipolegus aterrimus,R
Brazilian Black-tyrant,Knipolegus franciscanus,R
Velvety Black-tyrant,Knipolegus nigerrimus,R
Crested Black-tyrant,Knipolegus lophotes,R
Spectacled Tyrant,Hymenops perspicillatus,R
Drab Water Tyrant,Ochthornis littoralis,R
Yellow-browed Tyrant,Satrapa icterophrys,R
Spot-billed Ground-tyrant,Muscisaxicola maculirostris,R
Little Ground-tyrant,Muscisaxicola fluviatilis,R
Dark-faced Ground-tyrant,Muscisaxicola maclovianus,R
Cinnamon-bellied Ground-tyrant,Muscisaxicola capistratus,R
Rufous-naped Ground-tyrant,Muscisaxicola rufivertex,R
Puna Ground-tyrant,Muscisaxicola juninensis,R
White-browed Ground-tyrant,Muscisaxicola albilora,R
,Muscisaxicola alpina,NR
Plain-capped Ground-tyrant,Muscisaxicola alpinus,R
Taczanowski's Ground-tyrant,Muscisaxicola griseus,R
Cinereous Ground-tyrant,Muscisaxicola cinereus,R
White-fronted Ground-tyrant,Muscisaxicola albifrons,R
Ochre-naped Ground-tyrant,Muscisaxicola flavinucha,R
Black-fronted Ground-tyrant,Muscisaxicola frontalis,R
Black-billed Shrike-tyrant,Agriornis montanus,R
White-tailed Shrike-tyrant,Agriornis albicauda,R
Great Shrike-tyrant,Agriornis lividus,R
Grey-bellied Shrike-tyrant,Agriornis micropterus,R
Lesser Shrike-tyrant,Agriornis murinus,R
Fire-eyed Diucon,Xolmis pyrope,R
Grey Monjita,Xolmis cinereus,R
Black-crowned Monjita,Xolmis coronatus,R
White-rumped Monjita,Xolmis velatus,R
White Monjita,Xolmis irupero,R
Black-and-white Monjita,Xolmis dominicanus,R
Rusty-backed Monjita,Xolmis rubetra,R
Salinas Monjita,Xolmis salinarum,R
Streak-throated Bush-tyrant,Myiotheretes striaticollis,R
Santa Marta Bush-tyrant,Myiotheretes pernix,R
Smoky Bush-tyrant,Myiotheretes fumigatus,R
Rufous-bellied Bush-tyrant,Myiotheretes fuscorufus,R
Red-rumped Bush-tyrant,Cnemarchus erythropygius,R
Rufous-webbed Bush-tyrant,Polioxolmis rufipennis,R
Chocolate-vented Tyrant,Neoxolmis rufiventris,R
Streamer-tailed Tyrant,Gubernetes yetapa,R
Shear-tailed Grey-tyrant,Muscipipra vetula,R
Pied Water-tyrant,Fluvicola pica,R
Black-backed Water-tyrant,Fluvicola albiventer,R
Masked Water-tyrant,Fluvicola nengeta,R
,Fluvicola atripennis,NR
White-headed Marsh-tyrant,Arundinicola leucocephala,R
Cock-tailed Tyrant,Alectrurus tricolor,R
Strange-tailed Tyrant,Alectrurus risora,R
Tumbes Tyrant,Tumbezia salvini,R
Crowned Chat-tyrant,Ochthoeca frontalis,R
Jelski's Chat-tyrant,Ochthoeca jelskii,R
Yellow-bellied Chat-tyrant,Ochthoeca diadema,R
Golden-browed Chat-tyrant,Ochthoeca pulchella,R
Slaty-backed Chat-tyrant,Ochthoeca cinnamomeiventris,R
Rufous-breasted Chat-tyrant,Ochthoeca rufipectoralis,R
Brown-backed Chat-tyrant,Ochthoeca fumicolor,R
D'Orbigny's Chat-tyrant,Ochthoeca oenanthoides,R
White-browed Chat-tyrant,Ochthoeca leucophrys,R
Piura Chat-tyrant,Ochthoeca piurae,R
Patagonian Tyrant,Colorhamphus parvirostris,R
Long-tailed Tyrant,Colonia colonus,R
Short-tailed Field-tyrant,Muscigralla brevicauda,R
Cattle Tyrant,Machetornis rixosa,R
Piratic Flycatcher,Legatus leucophaius,R
White-bearded Flycatcher,Phelpsia inornatus,R
Rusty-margined Flycatcher,Myiozetetes cayanensis,R
Social Flycatcher,Myiozetetes similis,R
Grey-capped Flycatcher,Myiozetetes granadensis,R
Dusky-chested Flycatcher,Myiozetetes luteiventris,R
Lesser Kiskadee,Pitangus lictor,R
Great Kiskadee,Pitangus sulphuratus,R
White-ringed Flycatcher,Conopias albovittatus,R
Yellow-throated Flycatcher,Conopias parvus,R
Three-striped Flycatcher,Conopias trivirgatus,R
Lemon-browed Flycatcher,Conopias cinchoneti,R
Golden-bellied Flycatcher,Myiodynastes hemichrysus,R
Golden-crowned Flycatcher,Myiodynastes chrysocephalus,R
Baird's Flycatcher,Myiodynastes bairdii,R
Streaked Flycatcher,Myiodynastes maculatus,R
,Myiodynastes solitarius,NR
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,R
Boat-billed Flycatcher,Megarynchus pitangua,R
Sulphury Flycatcher,Tyrannopsis sulphurea,R
Variegated Flycatcher,Empidonomus varius,R
Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,R
Snowy-throated Kingbird,Tyrannus niveigularis,R
White-throated Kingbird,Tyrannus albogularis,R
Tropical Kingbird,Tyrannus melancholicus,R
Couch's Kingbird,Tyrannus couchii,R
Cassin's Kingbird,Tyrannus vociferans,R
Thick-billed Kingbird,Tyrannus crassirostris,R
Western Kingbird,Tyrannus verticalis,R
Scissor-tailed Flycatcher,Tyrannus forficatus,R
Fork-tailed Flycatcher,Tyrannus savana,R
Eastern Kingbird,Tyrannus tyrannus,R
Grey Kingbird,Tyrannus dominicensis,R
Loggerhead Kingbird,Tyrannus caudifasciatus,R
Giant Kingbird,Tyrannus cubensis,R
Rufous Mourner,Rhytipterna holerythra,R
Greyish Mourner,Rhytipterna simplex,R
Pale-bellied Mourner,Rhytipterna immunda,R
Sirystes,Sirystes sibilator,R
Rufous Casiornis,Casiornis rufus,R
Ash-throated Casiornis,Casiornis fuscus,R
Rufous Flycatcher,Myiarchus semirufus,R
Yucatan Flycatcher,Myiarchus yucatanensis,R
Dusky-capped Flycatcher,Myiarchus tuberculifer,R
Sad Flycatcher,Myiarchus barbirostris,R
Swainson's Flycatcher,Myiarchus swainsoni,R
Venezuelan Flycatcher,Myiarchus venezuelensis,R
Panama Flycatcher,Myiarchus panamensis,R
Short-crested Flycatcher,Myiarchus ferox,R
Pale-edged Flycatcher,Myiarchus cephalotes,R
Sooty-crowned Flycatcher,Myiarchus phaeocephalus,R
Apical Flycatcher,Myiarchus apicalis,R
Ash-throated Flycatcher,Myiarchus cinerascens,R
Nutting's Flycatcher,Myiarchus nuttingi,R
Great Crested Flycatcher,Myiarchus crinitus,R
Brown-crested Flycatcher,Myiarchus tyrannulus,R
Grenada Flycatcher,Myiarchus nugator,R
Large-billed Flycatcher,Myiarchus magnirostris,R
Rufous-tailed Flycatcher,Myiarchus validus,R
La Sagra's Flycatcher,Myiarchus sagrae,R
Stolid Flycatcher,Myiarchus stolidus,R
Puerto Rican Flycatcher,Myiarchus antillarum,R
Lesser Antillean Flycatcher,Myiarchus oberi,R
Flammulated Flycatcher,Deltarhynchus flammulatus,R
Large-headed Flatbill,Ramphotrigon megacephalum,R
Dusky-tailed Flatbill,Ramphotrigon fuscicauda,R
Rufous-tailed Flatbill,Ramphotrigon ruficauda,R
Rufous-tailed Attila,Attila phoenicurus,R
Cinnamon Attila,Attila cinnamomeus,R
Ochraceous Attila,Attila torridus,R
Citron-bellied Attila,Attila citriniventris,R
Dull-capped Attila,Attila bolivianus,R
Grey-hooded Attila,Attila rufus,R
Bright-rumped Attila,Attila spadiceus,R
Fasciated Antshrike,Cymbilaimus lineatus,R
Bamboo Antshrike,Cymbilaimus sanctaemariae,R
Spot-backed Antshrike,Hypoedaleus guttatus,R
Giant Antshrike,Batara cinerea,R
Tufted Antshrike,Mackenziaena severa,R
Large-tailed Antshrike,Mackenziaena leachii,R
Black-throated Antshrike,Frederickena viridis,R
Undulated Antshrike,Frederickena unduligera,R
Great Antshrike,Taraba major,R
Black-crested Antshrike,Sakesphorus canadensis,R
Silvery-cheeked Antshrike,Sakesphorus cristatus,R
Collared Antshrike,Sakesphorus bernardi,R
Black-backed Antshrike,Sakesphorus melanonotus,R
Band-tailed Antshrike,Sakesphorus melanothorax,R
Glossy Antshrike,Sakesphorus luctuosus,R
White-bearded Antshrike,Biatas nigropectus,R
,Thamnophilus doliatus,NR
Barred Antshrike,Thamnophilus doliatus,R
Chapman's Antshrike,Thamnophilus zarumae,R
Bar-crested Antshrike,Thamnophilus multistriatus,R
,Thamnophilus palliatus,NR
Chestnut-backed Antshrike,Thamnophilus palliatus,R
Lined Antshrike,Thamnophilus tenuepunctatus,R
