"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"79","Ardenna grisea","Sooty Shearwater","ts’agwáan","Procellariidae","Procellariiformes",47.8,31.1,7.8,10,55.8,295.6,181.5,112,61.8,88,787,"Puffinus griseus","Puffinus griseus","Sooty Shearwater","Procellariidae","Tlingit",79,"Procellariiformes "
"80","Cyanocitta stelleri","Steller's Jay","x’éishx’w","Corvidae","Passeriformes",33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.7,133.2,128,"Cyanocitta stelleri","Cyanocitta stelleri","Steller's Jay","Corvidae","Tlingit",80,"Passeriformes"
"81","Melanitta perspicillata","Surf Scoter","lak’eech’wú","Anatidae","Anseriformes",58.8,25.2,21.6,15.9,38,226.3,115,109.5,51.2,72.8,1096.3,"Melanitta perspicillata","Melanitta perspicillata","Surf Scoter","Anatidae","Tlingit",81,"Anseriformes"
"82","Catharus ustulatus","Swainson's Thrush","ts’ats’ée tlein","Turdidae","Passeriformes",14.3,9.2,4.6,4.2,29.6,96.6,31.1,66.6,31.8,68.3,30.3,"Catharus ustulatus","Catharus ustulatus","Swainson's Thrush","Turdidae","Tlingit",82,"Passeriformes"
"83","Setophaga townsendi","Townsend's Warbler","asx’aansháach’i","Parulidae","Passeriformes",12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,27.8,49.5,8.8,"Dendroica townsendi","Dendroica townsendi","Townsend's Warbler","Parulidae","Tlingit",83,"Passeriformes"
"84","Tachycineta bicolor","Tree Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",10.8,5.9,3.8,2.8,12.2,115.9,61.3,54.3,53,54,21.2,"Tachycineta bicolor","Tachycineta bicolor","Tree Swallow","Hirundinidae","Tlingit",84,"Passeriformes"
"85","Cygnus buccinator","Trumpeter Swan","gúkl’","Anatidae","Anseriformes",107.6,52.9,33.6,27.7,108.8,625.5,267,358.5,42.7,178,11071.1,"Cygnus buccinator","Olor buccinator","Trumpeter Swan","Anatidae","Tlingit",85,"Anseriformes"
"86","Fratercula cirrhata","Tufted Puffin","xík","Alcidae","Charadriiformes",56,26.4,10.8,36.1,33.4,194.1,96.6,94.9,50.5,57,774.4,"Fratercula cirrhata","Lunda cirrhata","Tufted Puffin","Alcidae","Tlingit",86,"Charadriiformes"
"87","Ixoreus naevius","Varied Thrush","sh’ux’.uwa’","Turdidae","Passeriformes",23.7,15,4.5,6.1,31.1,121.6,40.3,80.4,33.4,85.2,77.5,"Zoothera naevia","Zoothera naevia","Varied Thrush","Turdidae","Tlingit",87,"Passeriformes"
"88","Tachycineta thalassina","Violet-green Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",9.9,5,3.6,3,11.3,115.5,63.6,53,54.5,48.1,14.1,"Tachycineta thalassina","Tachycineta thalassina","Violet-green Swallow","Hirundinidae","Tlingit",88,"Passeriformes"
"89","Calidris mauri","Western Sandpiper","hinxukadzéedzi","Scolopacidae","Charadriiformes",21,15.8,2.3,3.5,21,92.2,45.5,47.5,49,38.4,27.8,"Calidris mauri","Calidris mauri","Western Sandpiper","Scolopacidae","Tlingit",89,"Charadriiformes"
"90","Numenius phaeopus","Whimbrel","ayaheeyáa","Scolopacidae","Charadriiformes",92.1,67.1,6.6,7.7,59.9,233,123.4,107,53.5,99.8,364.6,"Numenius phaeopus","Numenius phaeopus","Whimbrel","Scolopacidae","Tlingit",90,"Charadriiformes"
"91","Zonotrichia leucophrys","White-crowned Sparrow","tlagoo ts’ats’éeyee","Passerellidae","Passeriformes",15.4,8.4,4.5,6,22.8,78.7,18.5,60.9,23.4,70.6,28,"Zonotrichia leucophrys","Zonotrichia leucophrys","White-crowned Sparrow","Fringillidae","Tlingit",91,"Passeriformes"
"92","Cardellina pusilla","Wilson's Warbler","asx’aansháach’i","Parulidae","Passeriformes",11.6,6.6,3.2,3.1,17.9,56.3,11.5,44.1,20.7,48.1,7,"Wilsonia pusilla","Wilsonia pusilla","Wilson's Warbler","Parulidae","Tlingit",92,"Passeriformes"
"93","Gavia adamsii","Yellow-billed Loon","yeekagáaxi","Gaviidae","Gaviiformes",104.8,70.9,10.4,24.1,84.6,371.4,190.2,182.8,51,60.8,4944.3,"Gavia adamsii","Gavia adamsii","Yellow-billed Loon","Gaviidae","Tlingit",93,"Gaviiformes"
"94","Canachites canadensis","Spruce Grouse","ltaayí","Phasianidae","Galliformes",22.4,11.2,8.2,8.3,35.9,179.5,64.8,115.3,36,111.1,473.7,"Dendragapus canadensis","Canachites canadensis","Spruce Grouse","Tetraonidae","Tlingit",94,"Galliformes"
"95","Meleagris gallopavo","Wild Turkey","lugeitl’","Phasianidae","Galliformes",48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,"Meleagris gallopavo","Meleagris gallopavo","Wild Turkey","Meleagrididae","Tlingit",95,"Galliformes"
