"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"60","Dryobates scalaris","Ladder-backed Woodpecker","càrpìntêr","Picidae","Piciformes",19,13.8,6.9,6.3,17.8,96.8,23.8,73,24.6,58.2,31.6,"Picoides scalaris","Dendrocopos scalaris","Ladder-backed Woodpecker","Picidae","Zapotec",60,"Piciformes"
"61","Spinus psaltria","Lesser Goldfinch","mdzíl-dò","Fringillidae","Passeriformes",10.2,7.8,4.7,6.3,12.4,60.9,16.2,46.2,26,40.4,8.8,"Carduelis psaltria","Carduelis psaltria","Lesser Goldfinch","Fringillidae","Zapotec",61,"Passeriformes"
"62","Geococcyx velox","Lesser Roadrunner","mriě","Cuculidae","Cuculiformes",42.8,24.9,8.7,10.8,47.7,141.7,9.3,133.8,6.5,269.3,179.9,"Geococcyx velox","Geococcyx velox","Lesser Roadrunner","Cuculidae","Zapotec",62,"Cuculiformes"
"63","Aythya affinis","Lesser Scaup","bǎd","Anatidae","Anseriformes",47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,"Aythya affinis","Aythya affinis","Lesser Scaup","Anatidae","Zapotec",63,"Anseriformes"
"64","Amazona finschi","Lilac-crowned Parrot","lòr","Psittacidae","Psittaciformes",35.4,28.7,18,31.9,21.2,192.4,69.8,121.7,36.5,109,302,"Amazona finschi","Amazona finschi","Lilac-crowned Amazon","Psittacidae","Zapotec",64,"Psittaciformes"
"65","Melospiza lincolnii","Lincoln's Sparrow","mtsùu","Passerellidae","Passeriformes",13.2,8,4,5.1,20.1,64,14.3,49.7,22.3,56.8,16.6,"Melospiza lincolnii","Zonotrichia lincolnii","Lincoln's Sparrow","Fringillidae","Zapotec",65,"Passeriformes"
"66","Dryocopus lineatus","Lineated Woodpecker","càrpìntêr","Picidae","Piciformes",41.3,30.5,11,10.2,28.6,184.7,41,144.9,22,122,183.2,"Dryocopus lineatus","Dryocopus lineatus","Lineated Woodpecker","Picidae","Zapotec",66,"Piciformes"
"67","Dendrortyx macroura","Long-tailed Wood-Partridge","mtsòo","Odontophoridae","Galliformes",20.4,12.5,12.8,14.4,50.3,165.2,20.8,144.5,12.5,143,431,"Dendrortyx macroura","Dendrortyx macroura","Long-tailed Wood-Partridge","Phasianidae","Zapotec",67,"Galliformes"
"68","Geothlypis tolmiei","MacGillivray's Warbler","wǐt","Parulidae","Passeriformes",13.4,7.7,3,3.3,20.9,58.1,13.2,44.5,22.9,52.9,10.4,"Oporornis tolmiei","Oporornis tolmiei","MacGillivray's Warbler","Parulidae","Zapotec",68,"Passeriformes"
"69","Anas platyrhynchos","Mallard","bǎd","Anatidae","Anseriformes",58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,"Anas platyrhynchos","Anas platyrhynchos","Mallard","Anatidae","Zapotec",69,"Anseriformes"
"70","Poecile sclateri","Mexican Chickadee","mguîn̲-pàyâs","Paridae","Passeriformes",10.8,6.9,3.1,4.1,16.8,67.8,11.8,56,17.4,59.2,10.1,"Parus sclateri","Parus sclateri","Mexican Chickadee","Paridae","Zapotec",70,"Passeriformes"
"71","Ara militaris","Military Macaw","měw","Psittacidae","Psittaciformes",56.6,49.3,27.2,57.2,28.8,366.7,151.2,216.8,41.1,366.1,1134,"Ara militaris","Ara militaris","Military Macaw","Psittacidae","Zapotec",71,"Psittaciformes"
"72","Cyrtonyx montezumae","Montezuma Quail","mtǒ","Odontophoridae","Galliformes",15.5,9,7.9,9.3,28.2,117.9,28.4,89.4,24.1,42.6,185.4,"Cyrtonyx montezumae","Cyrtonyx montezumae","Montezuma Quail","Phasianidae","Zapotec",72,"Galliformes"
"73","Ciccaba virgata","Mottled Owl","dǎm̲","Strigidae","Strigiformes",33,17.2,9,16.1,40.6,240.6,50.3,190.3,20.8,149.1,284,"Strix virgata","Ciccaba virgata","Mottled Owl","Strigidae","Zapotec",73,"Strigiformes"
"74","Trogon mexicanus","Mountain Trogon","mèr-dán","Trogonidae","Trogoniformes",20,11.4,9.8,9.8,14.8,147.6,60.3,86.7,41,180.6,71,"Trogon mexicanus","Trogon mexicanus","Mexican Trogon","Trogonidae","Zapotec",74,"Trogoniformes"
"75","Cairina moschata","Muscovy Duck","bǎd","Anatidae","Anseriformes",65.9,38.7,22.6,15.7,56.2,345,124,226.8,35.2,160.2,2415.8,"Cairina moschata","Cairina moschata","Muscovy Duck","Anatidae","Zapotec",75,"Anseriformes"
"76","Leiothlypis ruficapilla","Nashville Warbler","mguîn̲-tsíríic","Parulidae","Passeriformes",11.6,7,2.8,3.5,16.1,56.8,13.3,43.4,23.6,42.4,8.1,"Vermivora ruficapilla","Vermivora ruficapilla","Nashville Warbler","Parulidae","Zapotec",76,"Passeriformes"
"77","Mimus polyglottos","Northern Mockingbird","mquièts","Mimidae","Passeriformes",22.1,12.2,4.6,5.3,32.2,112.3,23.1,90.5,20.6,117.6,48.5,"Mimus polyglottos","Mimus polyglottos","Northern Mockingbird","Mimidae","Zapotec",77,"Passeriformes"
"78","Glaucidium gnoma","Northern Pygmy-Owl","mquí","Strigidae","Strigiformes",13.3,9,6.2,9.3,18.2,89.4,20.9,68.5,23.3,63.5,61.3,"Glaucidium gnoma","Glaucidium gnoma","Northern Pygmy Owl","Strigidae","Zapotec",78,"Strigiformes"
"79","Myiarchus nuttingi","Nutting's Flycatcher","mguîn̲-rchǔup","Tyrannidae","Passeriformes",17.5,12.3,6.5,5.5,18.9,83.2,14.9,65.6,18.5,81.9,23,"Myiarchus nuttingi","Myiarchus nuttingi","Nutting's Flycatcher","Tyrannidae","Zapotec",79,"Passeriformes"
"80","Catharus aurantiirostris","Orange-billed Nightingale-Thrush","mguîn̲-guìib-tsár","Turdidae","Passeriformes",16.9,9.6,4.2,4.6,30.4,76.8,12.5,63.5,16.4,60.5,29.8,"Catharus aurantiirostris","Catharus aurantiirostris","Orange-billed Nightingale-Thrush","Turdidae","Zapotec",80,"Passeriformes"
"81","Leiothlypis celata","Orange-crowned Warbler","wǐt","Parulidae","Passeriformes",11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.2,"Vermivora celata","Vermivora celata","Orange-crowned Warbler","Parulidae","Zapotec",81,"Passeriformes"
"82","Eupsittula canicularis","Orange-fronted Parakeet","pèrícw","Psittacidae","Psittaciformes",20.8,17.6,11.9,21,12.6,132.7,59,73.2,44.6,104,85,"Aratinga canicularis","Aratinga canicularis","Orange-fronted Conure","Psittacidae","Zapotec",82,"Psittaciformes"
"83","Myioborus pictus","Painted Redstart","mguîn̲-mâ-zhiàn","Parulidae","Passeriformes",12,6.7,3.7,3.4,17.4,73.2,14.8,58.4,20.2,62.7,9.8,"Myioborus pictus","Setophaga pictus","Painted Redstart","Parulidae","Zapotec",83,"Passeriformes"
"84","Campephilus guatemalensis","Pale-billed Woodpecker","càrpìntêr","Picidae","Piciformes",47.7,35.7,13.2,12.4,35.2,180.8,36.5,137.5,21,107.5,242,"Campephilus guatemalensis","Phloeoceastes guatemalensis","Pale-billed Woodpecker","Picidae","Zapotec",84,"Piciformes"
"85","Falco peregrinus","Peregrine Falcon","msì","Falconidae","Falconiformes",31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,"Falco peregrinus","Falco peregrinus","Peregrine Falcon","Falconidae","Zapotec",85,"Falconiformes"
"86","Empidonax affinis","Pine Flycatcher","wǐt","Tyrannidae","Passeriformes",14,8.4,4.4,3.4,15.2,71.8,15.5,56,21.7,59.4,11.3,"Empidonax affinis","Empidonax affinis","Pine Flycatcher","Tyrannidae","Zapotec",86,"Passeriformes"
"87","Cardellina rubra","Red Warbler","x-quǐit-ngùbìdz","Parulidae","Passeriformes",11.4,6.6,3.3,3.7,18.3,61.2,10.2,50.9,16.7,58.6,8.1,"Ergaticus ruber","Ergaticus ruber","Red Warbler","Parulidae","Zapotec",87,"Passeriformes"
"88","Cardellina rubrifrons","Red-faced Warbler","wǐt","Parulidae","Passeriformes",11.7,6.8,3.5,4.1,16.9,67.5,14.4,53.1,21.3,60.9,8.1,"Cardellina rubrifrons","Cardellina rubrifrons","Red-faced Warbler","Parulidae","Zapotec",88,"Passeriformes"
"89","Buteo jamaicensis","Red-tailed Hawk","msì","Accipitridae","Accipitriformes",37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Buteo jamaicensis","Buteo jamaicensis","Red-tailed Hawk","Accipitridae","Zapotec",89,"Falconiformes"
"90","Columba livia","Rock Pigeon","pàlôm","Columbidae","Columbiformes",23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,"Columba livia","Columba livia","Rock Dove","Columbidae","Zapotec",90,"Columbiformes"
"91","Salpinctes obsoletus","Rock Wren","nguzhǐn","Troglodytidae","Passeriformes",19.9,12.6,2.9,3.4,20.1,69,11.8,56.6,17.3,55.6,16.4,"Salpinctes obsoletus","Salpinctes obsoletus","Rock Wren","Troglodytidae","Zapotec",91,"Passeriformes"
"92","Archilochus colubris","Ruby-throated Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,65,24.3,3.1,"Archilochus colubris","Archilochus colubris","Ruby-throated Hummingbird","Trochilidae","Zapotec",92,"Apodiformes"
"93","Catharus frantzii","Ruddy-capped Nightingale-Thrush","mguîn̲-guìib-tsár","Turdidae","Passeriformes",17.1,9.7,4.2,4.4,33.1,86.3,15.8,73,17.8,75.9,28.9,"Catharus frantzii","Catharus frantzii","Ruddy-capped Nightingale-Thrush","Turdidae","Zapotec",93,"Passeriformes"
"94","Selasphorus rufus","Rufous Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Selasphorus rufus","Selasphorus rufus","Rufous Hummingbird","Trochilidae","Zapotec",94,"Apodiformes"
"95","Basileuterus rufifrons","Rufous-capped Warbler","mguîn̲-dǎm̲","Parulidae","Passeriformes",12.6,7.2,3.9,4,20.1,51.1,5.7,44.6,11.3,61.8,10.4,"Basileuterus rufifrons","Basileuterus rufifrons","Rufous-capped Warbler","Parulidae","Zapotec",95,"Passeriformes"
