"","Cygnus cygnus","Anser erythropus","Anser fabalis","Anas acuta.1","Anas crecca.1","Anas platyrhynchos","Mareca penelope","Aythya fuligula","Aythya marila.1","Mergus serrator.1","Mergus merganser.1","Bucephala clangula.1","Melanitta fusca","Melanitta perspicillata.1","Clangula hyemalis.1","Polysticta stelleri","Somateria spectabilis.1","Somateria mollissima.1","Lagopus muta.1","Lagopus lagopus.1","Tetrao urogallus","Gavia stellata.1","Gavia arctica","Phalacrocorax carbo.2","Fulmarus glacialis","Numenius phaeopus.2","Xenus cinereus.1","Phalaropus lobatus.1","Tringa erythropus","Tringa nebularia.1","Tringa totanus","Actitis hypoleucos.2","Gallinago gallinago","Calidris pugnax","Larus canus","Larus marinus.1","Larus argentatus.1","Sterna paradisaea.1","Uria aalge.1","Charadrius hiaticula.2","Eudromias morinellus","Haematopus ostralegus","Pluvialis apricaria","Grus grus","Falco tinnunculus","Falco rusticolus","Falco peregrinus.1","Falco columbarius.1","Pica pica","Corvus corone","Corvus corax.1","Perisoreus infaustus","Poecile cinctus","Parus major","Riparia riparia.1","Delichon urbicum.1","Turdus pilaris","Turdus iliacus","Luscinia svecica","Cinclus cinclus","Plectrophenax nivalis.1","Motacilla alba","Motacilla flava.1","Surnia ulula.1","Aegolius funereus.1","Strix nebulosa","Bubo scandiacus.1","Asio flammeus.1","Dryobates minor","Picoides tridactylus","Dryocopus martius","Pandion haliaetus.2","Accipiter gentilis","Circus cyaneus","Accipiter nisus","Haliaeetus albicilla","Buteo lagopus.1","Aquila chrysaetos","Cuculus canorus","Larus argentatus.2"
"Gavia stellata.1",205.724024136043,205.724024136022,205.72402413603,205.724024135945,205.724024136001,205.724024136064,205.724024135992,205.724024136032,205.724024136014,205.724024136008,205.724024135989,205.724024135984,205.724024135969,205.724024136011,205.724024135964,205.724024135981,205.724024136003,205.724024136004,205.724024135646,205.7240241357,205.724024135723,0,124.188034823007,139.477091094831,142.095861050912,156.270277180809,156.270277180208,156.270277180526,156.270277180764,156.2702771805,156.27027718052,156.270277180544,156.270277180582,156.270277180879,156.270277180172,156.270277180182,156.270277180184,156.270277180163,156.270277180222,156.270277180993,156.270277181052,156.270277180515,156.270277180881,156.270277181287,169.504275848236,169.504275848378,169.504275848308,169.504275848284,169.504275848762,169.50427584873,169.504275848385,169.504275848504,169.504275848572,169.504275848551,169.504275848859,169.50427584831,169.504275848214,169.504275848537,169.504275848788,169.504275848694,169.50427584851,169.504275848598,169.504275848779,169.504275848346,169.50427584833,169.504275848244,169.504275848351,169.504275848491,169.504275848129,169.504275848123,169.504275848583,169.504275848188,169.504275848451,169.504275848246,169.504275848337,169.504275848045,169.504275848145,169.504275848122,169.504275847544,156.270277180184
"Gavia arctica",205.724024135045,205.724024135025,205.724024135033,205.724024134948,205.724024135004,205.724024135066,205.724024134994,205.724024135035,205.724024135017,205.72402413501,205.724024134991,205.724024134986,205.724024134971,205.724024135013,205.724024134967,205.724024134983,205.724024135006,205.724024135007,205.724024134648,205.724024134702,205.724024134726,124.188034823007,0,117.821634709421,141.358661557764,156.270277179811,156.270277179211,156.270277179529,156.270277179767,156.270277179503,156.270277179522,156.270277179546,156.270277179584,156.270277179881,156.270277179174,156.270277179184,156.270277179187,156.270277179166,156.270277179225,156.270277179996,156.270277180055,156.270277179518,156.270277179884,156.27027718029,169.504275847238,169.504275847381,169.50427584731,169.504275847287,169.504275847765,169.504275847733,169.504275847388,169.504275847507,169.504275847575,169.504275847554,169.504275847862,169.504275847313,169.504275847217,169.50427584754,169.504275847791,169.504275847697,169.504275847513,169.504275847601,169.504275847781,169.504275847349,169.504275847332,169.504275847247,169.504275847353,169.504275847493,169.504275847132,169.504275847125,169.504275847585,169.504275847191,169.504275847454,169.504275847249,169.50427584734,169.504275847048,169.504275847147,169.504275847125,169.504275846546,156.270277179187
"Phalacrocorax carbo.2",205.724024135672,205.724024135652,205.72402413566,205.724024135575,205.724024135631,205.724024135694,205.724024135622,205.724024135662,205.724024135644,205.724024135637,205.724024135618,205.724024135613,205.724024135599,205.724024135641,205.724024135594,205.724024135611,205.724024135633,205.724024135634,205.724024135276,205.72402413533,205.724024135353,139.477091094831,117.821634709421,0,131.560183161113,156.270277180439,156.270277179838,156.270277180156,156.270277180394,156.27027718013,156.270277180149,156.270277180174,156.270277180212,156.270277180509,156.270277179802,156.270277179812,156.270277179814,156.270277179793,156.270277179852,156.270277180623,156.270277180682,156.270277180146,156.270277180511,156.270277180918,169.504275847866,169.504275848008,169.504275847938,169.504275847914,169.504275848392,169.50427584836,169.504275848015,169.504275848134,169.504275848202,169.504275848182,169.504275848489,169.50427584794,169.504275847844,169.504275848167,169.504275848418,169.504275848324,169.50427584814,169.504275848228,169.504275848409,169.504275847976,169.50427584796,169.504275847874,169.50427584798,169.504275848121,169.504275847759,169.504275847753,169.504275848213,169.504275847818,169.504275848081,169.504275847876,169.504275847967,169.504275847675,169.504275847775,169.504275847752,169.504275847174,156.270277179814
"Fulmarus glacialis",205.72402413552,205.724024135499,205.724024135508,205.724024135423,205.724024135479,205.724024135541,205.724024135469,205.72402413551,205.724024135492,205.724024135485,205.724024135466,205.724024135461,205.724024135446,205.724024135488,205.724024135442,205.724024135458,205.724024135481,205.724024135482,205.724024135124,205.724024135177,205.724024135201,142.095861050912,141.358661557764,131.560183161113,0,156.270277180286,156.270277179686,156.270277180004,156.270277180242,156.270277179978,156.270277179997,156.270277180021,156.270277180059,156.270277180356,156.270277179649,156.270277179659,156.270277179662,156.27027717964,156.2702771797,156.270277180471,156.27027718053,156.270277179993,156.270277180359,156.270277180765,169.504275847713,169.504275847856,169.504275847785,169.504275847762,169.50427584824,169.504275848208,169.504275847863,169.504275847982,169.50427584805,169.504275848029,169.504275848337,169.504275847788,169.504275847692,169.504275848015,169.504275848266,169.504275848172,169.504275847988,169.504275848076,169.504275848256,169.504275847824,169.504275847807,169.504275847722,169.504275847828,169.504275847968,169.504275847607,169.5042758476,169.50427584806,169.504275847666,169.504275847929,169.504275847724,169.504275847815,169.504275847522,169.504275847622,169.504275847599,169.504275847021,156.270277179662
"Numenius phaeopus.2",205.724024135286,205.724024135266,205.724024135274,205.724024135189,205.724024135245,205.724024135308,205.724024135236,205.724024135276,205.724024135258,205.724024135251,205.724024135232,205.724024135227,205.724024135213,205.724024135255,205.724024135208,205.724024135225,205.724024135247,205.724024135248,205.72402413489,205.724024134944,205.724024134967,156.270277180809,156.270277179811,156.270277180439,156.270277180286,0,77.642206961845,77.6422069621627,77.6422069624009,77.6422069621371,77.6422069621561,77.6422069621803,77.6422069622184,77.6422069625154,110.764486540398,110.764486540408,110.76448654041,110.764486540389,110.764486540449,125.910982348515,125.910982348574,125.910982348038,125.910982348403,150.189689715173,169.50427584748,169.504275847622,169.504275847552,169.504275847528,169.504275848006,169.504275847974,169.504275847629,169.504275847748,169.504275847816,169.504275847795,169.504275848103,169.504275847554,169.504275847458,169.504275847781,169.504275848033,169.504275847938,169.504275847754,169.504275847842,169.504275848023,169.50427584759,169.504275847574,169.504275847488,169.504275847594,169.504275847735,169.504275847373,169.504275847367,169.504275847827,169.504275847432,169.504275847695,169.50427584749,169.504275847581,169.504275847289,169.504275847389,169.504275847366,169.504275846788,110.76448654041
"Xenus cinereus.1",205.724024134686,205.724024134665,205.724024134674,205.724024134589,205.724024134645,205.724024134707,205.724024134636,205.724024134676,205.724024134658,205.724024134651,205.724024134632,205.724024134627,205.724024134612,205.724024134654,205.724024134608,205.724024134624,205.724024134647,205.724024134648,205.724024134289,205.724024134343,205.724024134367,156.270277180208,156.270277179211,156.270277179838,156.270277179686,77.642206961845,0,46.4008882620545,50.086225702155,53.9782023362761,54.6384213054707,55.539956836416,62.4515020248653,64.2682009310974,109.631198271522,110.192555887476,110.192555887479,110.192555887458,110.192555887517,125.339051695584,125.460787394211,125.460787393674,125.46078739404,149.739494760809,169.50427584688,169.504275847022,169.504275846951,169.504275846928,169.504275847406,169.504275847374,169.504275847029,169.504275847148,169.504275847216,169.504275847195,169.504275847503,169.504275846954,169.504275846857,169.504275847181,169.504275847432,169.504275847338,169.504275847154,169.504275847242,169.504275847422,169.50427584699,169.504275846973,169.504275846888,169.504275846994,169.504275847134,169.504275846773,169.504275846766,169.504275847226,169.504275846832,169.504275847095,169.50427584689,169.504275846981,169.504275846688,169.504275846788,169.504275846765,169.504275846187,110.192555887479
"Phalaropus lobatus.1",205.724024135004,205.724024134983,205.724024134991,205.724024134907,205.724024134962,205.724024135025,205.724024134953,205.724024134994,205.724024134976,205.724024134969,205.72402413495,205.724024134945,205.72402413493,205.724024134972,205.724024134925,205.724024134942,205.724024134964,205.724024134966,205.724024134607,205.724024134661,205.724024134684,156.270277180526,156.270277179529,156.270277180156,156.270277180004,77.6422069621627,46.4008882620545,0,46.1385402103567,50.8648172489331,54.2534421406428,55.1622314351745,62.0975427877486,64.0260586832288,109.416777161432,110.192555887794,110.192555887796,110.192555887775,110.192555887835,125.339051695901,125.460787394528,125.460787393992,125.460787394357,149.739494761127,169.504275847197,169.50427584734,169.504275847269,169.504275847245,169.504275847724,169.504275847692,169.504275847346,169.504275847465,169.504275847533,169.504275847513,169.504275847821,169.504275847271,169.504275847175,169.504275847498,169.50427584775,169.504275847655,169.504275847471,169.50427584756,169.50427584774,169.504275847308,169.504275847291,169.504275847205,169.504275847312,169.504275847452,169.50427584709,169.504275847084,169.504275847544,169.504275847149,169.504275847413,169.504275847207,169.504275847298,169.504275847006,169.504275847106,169.504275847083,169.504275846505,110.192555887796
"Tringa erythropus",205.724024135242,205.724024135221,205.72402413523,205.724024135145,205.724024135201,205.724024135263,205.724024135192,205.724024135232,205.724024135214,205.724024135207,205.724024135188,205.724024135183,205.724024135168,205.72402413521,205.724024135164,205.72402413518,205.724024135203,205.724024135204,205.724024134845,205.724024134899,205.724024134923,156.270277180764,156.270277179767,156.270277180394,156.270277180242,77.6422069624009,50.086225702155,46.1385402103567,0,34.2414281454578,40.7039467511774,54.1526641100735,61.8694576576564,63.8150222708326,109.41677716167,110.192555888032,110.192555888035,110.192555888013,110.192555888073,125.33905169614,125.460787394767,125.46078739423,125.460787394596,149.739494761365,169.504275847435,169.504275847578,169.504275847507,169.504275847483,169.504275847962,169.50427584793,169.504275847585,169.504275847704,169.504275847772,169.504275847751,169.504275848059,169.50427584751,169.504275847413,169.504275847737,169.504275847988,169.504275847894,169.50427584771,169.504275847798,169.504275847978,169.504275847546,169.504275847529,169.504275847444,169.50427584755,169.50427584769,169.504275847329,169.504275847322,169.504275847782,169.504275847388,169.504275847651,169.504275847446,169.504275847537,169.504275847245,169.504275847344,169.504275847321,169.504275846743,110.192555888035
"Tringa nebularia.1",205.724024134978,205.724024134957,205.724024134966,205.724024134881,205.724024134937,205.724024134999,205.724024134927,205.724024134968,205.72402413495,205.724024134943,205.724024134924,205.724024134919,205.724024134904,205.724024134946,205.7240241349,205.724024134917,205.724024134939,205.72402413494,205.724024134582,205.724024134635,205.724024134659,156.2702771805,156.270277179503,156.27027718013,156.270277179978,77.6422069621371,53.9782023362761,50.8648172489331,34.2414281454578,0,34.04945669496,49.0266644086577,61.8694576573925,63.8150222705687,109.416777161406,110.192555887768,110.192555887771,110.19255588775,110.192555887809,125.339051695876,125.460787394503,125.460787393966,125.460787394332,149.739494761101,169.504275847172,169.504275847314,169.504275847243,169.50427584722,169.504275847698,169.504275847666,169.504275847321,169.50427584744,169.504275847508,169.504275847487,169.504275847795,169.504275847246,169.504275847149,169.504275847473,169.504275847724,169.50427584763,169.504275847446,169.504275847534,169.504275847714,169.504275847282,169.504275847266,169.50427584718,169.504275847286,169.504275847426,169.504275847065,169.504275847058,169.504275847518,169.504275847124,169.504275847387,169.504275847182,169.504275847273,169.504275846981,169.50427584708,169.504275847058,169.50427584648,110.192555887771
"Tringa totanus",205.724024134997,205.724024134977,205.724024134985,205.7240241349,205.724024134956,205.724024135019,205.724024134946,205.724024134987,205.724024134969,205.724024134962,205.724024134943,205.724024134938,205.724024134924,205.724024134965,205.724024134919,205.724024134936,205.724024134958,205.724024134959,205.724024134601,205.724024134654,205.724024134678,156.27027718052,156.270277179522,156.270277180149,156.270277179997,77.6422069621561,54.6384213054707,54.2534421406428,40.7039467511774,34.04945669496,0,46.9581410244078,61.5231947301507,63.8021325661574,109.416777161425,110.192555887787,110.19255588779,110.192555887769,110.192555887828,125.339051695895,125.460787394522,125.460787393985,125.460787394351,149.73949476112,169.504275847191,169.504275847333,169.504275847262,169.504275847239,169.504275847717,169.504275847685,169.50427584734,169.504275847459,169.504275847527,169.504275847506,169.504275847814,169.504275847265,169.504275847169,169.504275847492,169.504275847743,169.504275847649,169.504275847465,169.504275847553,169.504275847733,169.504275847301,169.504275847285,169.504275847199,169.504275847305,169.504275847445,169.504275847084,169.504275847077,169.504275847537,169.504275847143,169.504275847406,169.504275847201,169.504275847292,169.504275847,169.5042758471,169.504275847077,169.504275846499,110.19255588779
"Actitis hypoleucos.2",205.724024135021,205.724024135001,205.724024135009,205.724024134924,205.72402413498,205.724024135043,205.724024134971,205.724024135011,205.724024134993,205.724024134986,205.724024134967,205.724024134962,205.724024134948,205.72402413499,205.724024134943,205.72402413496,205.724024134982,205.724024134983,205.724024134625,205.724024134679,205.724024134702,156.270277180544,156.270277179546,156.270277180174,156.270277180021,77.6422069621803,55.539956836416,55.1622314351745,54.1526641100735,49.0266644086577,46.9581410244078,0,61.505471540623,63.8021325661816,109.41677716145,110.192555887812,110.192555887814,110.192555887793,110.192555887852,125.339051695919,125.460787394546,125.46078739401,125.460787394375,149.739494761145,169.504275847215,169.504275847357,169.504275847287,169.504275847263,169.504275847741,169.504275847709,169.504275847364,169.504275847483,169.504275847551,169.50427584753,169.504275847838,169.504275847289,169.504275847193,169.504275847516,169.504275847768,169.504275847673,169.504275847489,169.504275847577,169.504275847757,169.504275847325,169.504275847309,169.504275847223,169.504275847329,169.50427584747,169.504275847108,169.504275847101,169.504275847562,169.504275847167,169.50427584743,169.504275847225,169.504275847316,169.504275847024,169.504275847124,169.504275847101,169.504275846523,110.192555887814
